Date,Open,High,Low,Close,Volume
2016-01-04,17.04,17.19,16.77,17.02,2259298
2016-01-05,17.06,17.39,16.89,17.06,1610401
2016-01-06,16.8,16.98,16.7,16.8,1948171
2016-01-07,16.5,16.7,16.4,16.55,3611278
2016-01-08,16.61,16.62,15.93,15.96,3198177
2016-01-11,16.05,16.1,15.7,15.9,2086849
2016-01-12,16.0,16.02,15.51,15.67,2431869
2016-01-13,15.75,15.9,15.38,15.4,2546847
2016-01-14,15.44,16.18,15.2,16.12,3235179
2016-01-15,15.67,15.83,15.43,15.74,3560564
2016-01-19,15.87,16.01,15.55,15.94,4835910
2016-01-20,15.64,16.38,15.48,16.28,8303454
2016-01-21,16.32,16.82,16.26,16.5,2778255
2016-01-22,16.8,17.02,16.66,16.83,1972180
2016-01-25,16.75,16.87,16.32,16.48,2280493
2016-01-26,16.5,16.86,16.32,16.34,3462908
2016-01-27,16.3,16.56,16.13,16.21,5948456
2016-01-28,16.39,16.47,16.12,16.18,1886745
2016-01-29,16.26,16.58,16.25,16.56,2828311
2016-02-01,16.47,16.65,16.18,16.55,1788092
2016-02-02,16.39,16.42,15.86,15.99,2413396
2016-02-03,16.07,16.42,15.79,16.38,1885275
2016-02-04,16.41,16.85,16.32,16.41,1910931
2016-02-05,16.37,16.4,15.87,16.03,2592081
2016-02-08,15.96,15.96,15.23,15.45,2388326
2016-02-09,15.32,15.47,14.83,14.96,2258903
2016-02-10,15.0,15.27,14.89,14.92,1697360
2016-02-11,14.75,14.86,14.33,14.61,2701690
2016-02-12,14.78,15.04,14.56,14.78,2409826
2016-02-16,14.98,15.07,14.75,14.79,1913466
2016-02-17,15.04,15.24,14.88,15.23,2939663
2016-02-18,15.26,15.27,14.92,14.98,1820457
2016-02-19,14.95,14.98,14.67,14.76,1987068
2016-02-22,14.99,15.25,14.95,15.04,2714928
2016-02-23,15.01,15.1,14.76,14.76,1771972
2016-02-24,14.58,14.66,14.33,14.62,2661893
2016-02-25,14.66,14.89,14.27,14.62,2449987
2016-02-26,14.74,15.05,14.56,14.83,2274308
2016-02-29,14.86,14.91,14.41,14.45,2615150
2016-03-01,14.54,15.27,14.46,15.26,2428719
2016-03-02,15.24,15.66,15.24,15.57,1973301
2016-03-03,15.54,15.62,15.5,15.59,1433881
2016-03-04,15.6,15.9,15.54,15.69,1535083
2016-03-07,15.59,15.86,15.46,15.85,2608085
2016-03-08,15.72,15.85,15.41,15.43,1842324
2016-03-09,15.53,15.55,15.19,15.19,1715678
2016-03-10,15.23,15.34,14.92,15.08,3835653
2016-03-11,15.2,15.38,15.1,15.26,4214312
2016-03-14,15.2,15.44,15.0,15.39,2411102
2016-03-15,15.17,15.25,14.4,14.52,4156004
2016-03-16,14.43,15.26,14.31,15.18,4130647
2016-03-17,15.14,15.79,14.96,15.79,4724959
2016-03-18,15.91,16.66,15.86,16.62,5139229
2016-03-21,16.62,16.75,16.43,16.56,2007617
2016-03-22,16.45,16.56,16.26,16.33,2080133
2016-03-23,16.2,16.33,15.99,16.0,2257490
2016-03-24,15.81,16.08,15.78,16.03,1945169
2016-03-28,16.06,16.08,15.65,15.87,1743269
2016-03-29,15.75,15.9,15.35,15.84,1829080
2016-03-30,15.89,16.05,15.77,15.93,1788723
2016-03-31,15.93,16.2,15.88,16.17,2085059
2016-04-01,16.07,16.27,15.73,16.23,2510905
2016-04-04,16.23,16.27,15.96,16.06,1674346
2016-04-05,15.93,16.17,15.91,15.98,2250003
2016-04-06,16.0,16.18,15.86,16.16,1786419
2016-04-07,16.05,16.17,15.47,15.53,1926297
2016-04-08,15.69,15.8,15.32,15.42,1314897
2016-04-11,15.43,15.76,15.42,15.67,2236468
2016-04-12,15.69,16.08,15.61,16.06,2030460
2016-04-13,16.18,16.71,16.16,16.68,2597384
2016-04-14,16.65,17.18,16.53,16.9,2517233
2016-04-15,16.88,17.01,16.71,16.86,1273693
2016-04-18,16.74,16.97,16.66,16.89,1338796
2016-04-19,16.91,17.04,16.76,16.98,1610901
2016-04-20,16.95,17.03,16.82,17.0,1472102
2016-04-21,17.01,17.06,16.82,16.96,1209200
2016-04-22,16.99,17.09,16.9,17.01,1190613
2016-04-25,16.93,16.98,16.74,16.89,1359362
2016-04-26,16.99,17.36,16.96,17.31,1371117
2016-04-27,17.31,17.49,17.17,17.34,999447
2016-04-28,17.22,17.31,16.9,16.95,1190592
2016-04-29,16.91,17.0,16.49,16.68,1638394
2016-05-02,16.71,17.12,16.66,16.93,1953197
2016-05-03,16.8,16.85,16.4,16.47,1993734
2016-05-04,16.36,16.48,16.16,16.22,1424880
2016-05-05,16.0,16.78,16.0,16.58,2655529
2016-05-06,16.33,17.05,16.33,16.97,2483417
2016-05-09,16.89,16.96,16.58,16.72,1806243
2016-05-10,16.76,17.78,16.76,17.71,3580037
2016-05-11,17.65,17.93,17.64,17.68,2971387
2016-05-12,17.73,17.86,17.32,17.57,2479327
2016-05-13,17.52,17.85,17.43,17.49,1769965
2016-05-16,17.49,17.71,17.37,17.52,1712920
2016-05-17,17.44,17.64,17.39,17.47,1946503
2016-05-18,17.46,17.68,17.42,17.68,2013069
2016-05-19,17.6,17.79,17.42,17.79,2450233
2016-05-20,17.85,18.19,17.58,17.69,2672259
2016-05-23,17.63,17.73,17.47,17.47,1354294
2016-05-24,17.48,17.81,17.44,17.78,1495371
2016-05-25,17.82,18.11,17.8,17.9,1350730
2016-05-26,17.9,18.07,17.86,17.89,1431407
2016-05-27,17.9,18.01,17.84,17.97,1295071
2016-05-31,17.99,18.16,17.83,18.1,3506885
2016-06-01,17.95,18.1,17.88,18.09,2582331
2016-06-02,17.99,18.22,17.94,18.03,1869864
2016-06-03,17.94,17.94,17.39,17.56,2136168
2016-06-06,17.56,17.84,17.46,17.79,1538556
2016-06-07,17.77,17.98,17.68,17.94,1747508
2016-06-08,17.95,18.15,17.82,18.0,1985581
2016-06-09,17.79,17.8,17.52,17.69,1686397
2016-06-10,17.46,17.48,17.27,17.32,1689810
2016-06-13,17.24,17.45,17.14,17.24,1781825
2016-06-14,17.2,17.35,16.82,16.82,2082965
2016-06-15,16.8,17.26,16.7,16.96,1645449
2016-06-16,16.82,16.91,16.61,16.89,1657740
2016-06-17,16.94,17.25,16.89,17.03,2004410
2016-06-20,17.28,17.37,17.08,17.09,1427362
2016-06-21,17.13,17.17,16.97,17.03,1525047
2016-06-22,17.07,17.28,17.01,17.15,1183364
2016-06-23,17.43,17.98,17.43,17.98,2703316
2016-06-24,16.91,17.2,16.26,16.28,4070352
2016-06-27,15.93,15.97,15.48,15.65,3360786
2016-06-28,15.96,16.24,15.8,16.2,2941130
2016-06-29,16.44,16.77,16.22,16.69,2230727
2016-06-30,16.72,17.33,16.55,17.33,2965078
2016-07-01,17.34,17.81,17.3,17.47,2060270
2016-07-05,17.31,17.31,16.82,16.88,1353955
2016-07-06,16.71,17.25,16.53,17.24,2458246
2016-07-07,17.27,17.5,16.98,17.17,1845698
2016-07-08,17.46,17.55,17.25,17.46,2749939
2016-07-11,17.55,17.68,17.41,17.41,1207805
2016-07-12,17.65,17.71,17.54,17.59,1703767
2016-07-13,17.62,17.81,17.51,17.79,1222448
2016-07-14,18.02,18.11,17.84,17.86,1148672
2016-07-15,17.97,17.97,17.69,17.83,1280289
2016-07-18,17.83,18.01,17.78,17.94,659732
2016-07-19,17.86,18.06,17.81,17.92,974872
2016-07-20,17.97,18.06,17.78,18.03,992654
2016-07-21,18.06,18.19,18.01,18.08,1122311
2016-07-22,18.07,18.2,18.03,18.16,637807
2016-07-25,18.16,18.18,18.04,18.14,788915
2016-07-26,18.12,18.21,18.08,18.12,770059
2016-07-27,18.14,18.27,18.06,18.17,1127026
2016-07-28,18.14,18.18,17.98,18.14,687111
2016-07-29,18.09,18.27,18.0,18.26,1101015
2016-08-01,18.27,18.43,18.05,18.08,2128415
2016-08-02,17.99,18.08,17.58,17.8,1880862
2016-08-03,17.47,18.01,17.47,18.0,1471618
2016-08-04,17.9,18.88,17.9,18.65,1850281
2016-08-05,18.9,19.06,18.81,18.86,2482177
2016-08-08,18.89,19.14,18.77,18.81,2284183
2016-08-09,18.83,19.1,18.76,18.8,1607978
2016-08-10,18.82,19.02,18.74,18.83,1629966
2016-08-11,18.88,18.93,18.77,18.78,1150547
2016-08-12,18.7,18.7,18.47,18.66,1106432
2016-08-15,18.76,19.07,18.7,18.92,1391507
2016-08-16,18.88,18.99,18.7,18.82,1066702
2016-08-17,18.82,18.87,18.66,18.83,852402
2016-08-18,18.86,19.0,18.77,18.86,1111092
2016-08-19,18.76,18.76,18.6,18.7,1043654
2016-08-22,18.66,18.72,18.56,18.64,979920
2016-08-23,18.76,18.84,18.62,18.68,1068098
2016-08-24,18.68,18.98,18.53,18.57,1465609
2016-08-25,18.52,18.9,18.52,18.83,899664
2016-08-26,18.92,19.04,18.7,18.82,1048486
2016-08-29,18.85,19.14,18.85,19.04,1311013
2016-08-30,19.01,19.18,18.92,19.09,1369927
2016-08-31,19.03,19.25,18.98,19.15,2055002
2016-09-01,19.2,19.22,18.77,18.89,1369308
2016-09-02,19.01,19.15,18.85,19.03,1001884
2016-09-06,19.02,19.08,18.76,18.84,1513717
2016-09-07,18.77,19.21,18.73,19.2,1240680
2016-09-08,19.2,19.49,19.1,19.47,1721875
2016-09-09,19.32,19.41,18.97,18.98,1590010
2016-09-12,18.83,19.46,18.63,19.38,2011111
2016-09-13,19.13,19.13,18.51,19.01,1642276
2016-09-14,18.96,19.08,18.76,18.85,1110501
2016-09-15,18.77,19.15,18.76,19.08,1053694
2016-09-16,18.93,19.04,18.8,18.97,2591910
2016-09-19,19.06,19.28,18.94,18.96,940756
2016-09-20,19.07,19.13,18.91,18.92,1431980
2016-09-21,19.04,19.31,18.97,19.15,1848399
2016-09-22,19.24,19.28,19.0,19.07,1161529
2016-09-23,19.02,19.12,18.83,18.84,1382453
2016-09-26,18.68,18.79,18.54,18.61,1478467
2016-09-27,18.58,18.81,18.47,18.76,1139750
2016-09-28,18.8,18.92,18.61,18.86,1306928
2016-09-29,18.85,18.95,18.38,18.74,2405304
2016-09-30,18.9,19.2,18.84,19.04,3049251
2016-10-03,18.98,19.09,18.88,18.94,1070201
2016-10-04,18.97,19.04,18.82,18.86,1425406
2016-10-05,19.0,19.4,18.94,19.3,2427031
2016-10-06,19.35,19.56,19.21,19.55,2710582
2016-10-07,19.6,19.74,19.45,19.55,4069175
2016-10-10,19.67,19.7,19.48,19.51,1765790
2016-10-11,19.45,19.54,19.22,19.27,2501890
2016-10-12,19.3,19.46,19.17,19.4,2627596
2016-10-13,19.18,19.18,18.8,18.9,1942971
2016-10-14,19.08,19.14,18.86,18.97,1798197
2016-10-17,19.01,19.01,18.62,18.63,1660654
2016-10-18,18.89,19.0,18.74,18.96,1526237
2016-10-19,19.01,19.03,18.78,18.8,1708126
2016-10-20,18.75,18.97,18.74,18.8,1743934
2016-10-21,18.63,18.82,18.61,18.76,1115498
2016-10-24,18.89,18.92,18.67,18.83,1425346
2016-10-25,18.82,18.87,18.64,18.66,1260298
2016-10-26,18.58,18.9,18.45,18.8,2169693
2016-10-27,18.92,18.92,18.68,18.71,1427610
2016-10-28,18.77,18.89,18.53,18.71,1646787
2016-10-31,18.81,18.83,18.66,18.67,1474408
2016-11-01,18.79,18.79,18.4,18.58,1443982
2016-11-02,18.5,18.5,18.31,18.32,1365418
2016-11-03,18.44,18.5,18.09,18.1,1753939
2016-11-04,18.13,18.2,17.87,17.91,1749582
2016-11-07,18.27,18.79,18.27,18.66,2546468
2016-11-08,18.66,18.96,18.48,18.81,2869319
2016-11-09,18.67,19.79,18.64,19.65,3540925
2016-11-10,19.84,20.46,19.83,20.2,3883341
2016-11-11,20.2,20.79,20.17,20.78,3396709
2016-11-14,20.83,21.04,20.54,20.76,2912646
2016-11-15,20.62,20.88,20.44,20.87,1602655
2016-11-16,20.67,20.83,20.64,20.75,1274196
2016-11-17,20.75,20.86,20.68,20.78,1245918
2016-11-18,20.75,21.06,20.61,20.99,1236154
2016-11-21,21.0,21.11,20.96,21.06,1407334
2016-11-22,21.1,21.19,20.88,21.03,1057902
2016-11-23,21.0,21.31,20.94,21.3,1583419
2016-11-25,21.38,21.42,21.19,21.35,503108
2016-11-28,21.18,21.3,21.05,21.1,1105085
2016-11-29,21.13,21.44,21.12,21.33,1328177
2016-11-30,21.69,22.05,21.62,22.02,2419356
2016-12-01,22.13,22.78,22.11,22.77,2991118
2016-12-02,22.69,22.71,22.44,22.55,2060007
2016-12-05,22.72,22.98,22.64,22.96,2533990
