Date,Open,High,Low,Close,Volume
2016-01-04,193.59,195.66,192.86,194.67,1310406
2016-01-05,195.17,196.84,194.6,195.5,1016230
2016-01-06,191.87,193.71,191.33,193.1,1469835
2016-01-07,189.75,190.33,187.67,187.81,1909158
2016-01-08,188.47,189.39,182.0,182.39,2217414
2016-01-11,168.99,170.78,161.8,163.55,9176467
2016-01-12,164.78,166.64,163.12,164.01,3460196
2016-01-13,163.88,165.96,156.31,157.84,4112459
2016-01-14,157.64,166.2,157.55,164.78,3069074
2016-01-15,161.52,165.15,158.8,165.0,3418442
2016-01-19,166.49,169.98,165.03,169.44,3507313
2016-01-20,166.74,170.64,162.34,170.0,3490122
2016-01-21,170.0,172.5,168.6,170.45,2162659
2016-01-22,172.3,173.64,169.57,170.18,2407693
2016-01-25,170.75,172.91,169.8,170.17,2009124
2016-01-26,171.72,171.72,167.04,170.99,1793876
2016-01-27,169.96,171.45,166.13,166.92,2334015
2016-01-28,154.79,165.08,152.22,160.12,4194434
2016-01-29,160.49,163.06,157.62,160.98,2863721
2016-02-01,159.8,160.45,156.32,159.27,2642490
2016-02-02,158.14,159.94,155.0,155.0,3114110
2016-02-03,156.49,156.98,149.24,152.37,4297836
2016-02-04,151.74,157.78,149.55,153.81,2668884
2016-02-05,152.04,156.39,150.83,154.36,2666703
2016-02-08,153.23,153.66,149.28,151.46,2744099
2016-02-09,149.94,153.18,148.29,150.38,1893173
2016-02-10,150.94,155.3,150.52,152.99,2318391
2016-02-11,150.71,152.06,148.54,150.03,2998181
2016-02-12,151.52,152.18,148.75,151.03,1891702
2016-02-16,152.0,153.64,150.64,152.59,1424140
2016-02-17,154.04,157.91,154.0,155.57,2140937
2016-02-18,155.15,156.68,154.89,155.96,1288135
2016-02-19,155.72,155.72,153.16,154.27,1403315
2016-02-22,155.55,156.73,154.72,156.43,754110
2016-02-23,156.0,156.14,153.8,153.99,1265865
2016-02-24,153.29,155.22,151.93,154.67,1064617
2016-02-25,155.94,156.83,153.51,155.37,1142138
2016-02-26,156.0,158.68,154.56,156.78,921336
2016-02-29,156.56,157.98,155.28,155.62,1777110
2016-03-01,154.68,156.65,154.42,156.65,1208071
2016-03-02,156.33,161.74,155.89,158.69,1687787
2016-03-03,158.16,163.04,157.66,162.7,1481159
2016-03-04,162.59,164.92,162.42,162.77,1114155
2016-03-07,162.0,163.96,161.66,163.04,959139
2016-03-08,162.08,162.63,157.56,158.8,1767872
2016-03-09,160.0,163.52,159.33,161.88,1280018
2016-03-10,162.67,163.66,159.68,161.12,1333238
2016-03-11,162.13,166.75,161.83,166.4,941434
2016-03-14,166.38,167.13,163.96,164.99,922319
2016-03-15,162.81,163.29,156.79,157.3,1689676
2016-03-16,156.59,158.17,155.23,156.0,1650289
2016-03-17,155.0,155.7,149.6,151.69,3452822
2016-03-18,152.0,160.04,151.55,158.31,2845453
2016-03-21,157.96,158.69,155.37,156.86,1293592
2016-03-22,156.37,157.44,155.0,156.61,1271618
2016-03-23,157.0,158.06,154.89,155.03,1384712
2016-03-24,154.02,158.4,153.94,157.29,1507426
2016-03-28,157.29,157.93,155.32,156.53,1356708
2016-03-29,156.55,159.01,155.88,158.87,1439709
2016-03-30,159.0,159.99,157.54,157.73,1033125
2016-03-31,157.96,159.84,157.11,157.25,1198965
2016-04-01,156.75,157.9,155.57,157.41,937166
2016-04-04,157.24,161.78,157.0,158.21,1190390
2016-04-05,156.37,157.56,154.33,154.69,1175416
2016-04-06,155.28,163.42,155.16,163.21,1629249
2016-04-07,162.34,163.06,159.84,161.25,1475836
2016-04-08,162.24,163.34,160.8,162.2,1138949
2016-04-11,162.24,163.52,161.14,162.38,1331208
2016-04-12,162.94,165.21,162.35,164.33,1461393
2016-04-13,164.42,167.69,163.35,167.5,1333758
2016-04-14,166.95,169.47,165.51,168.59,1801224
2016-04-15,169.09,172.8,168.66,172.77,2332919
2016-04-18,171.91,174.43,170.84,174.0,1250705
2016-04-19,174.44,176.38,173.72,175.84,1391412
2016-04-20,176.4,178.45,175.01,177.54,1300925
2016-04-21,177.65,178.87,177.11,178.03,1079438
2016-04-22,178.65,179.3,176.67,178.25,1509460
2016-04-25,178.16,178.5,175.55,177.16,1341062
2016-04-26,177.34,178.69,176.96,177.17,965208
2016-04-27,177.19,178.54,176.45,177.93,1155498
2016-04-28,176.5,176.61,169.13,169.33,3006696
