Date,Open,High,Low,Close,Volume
2016-01-04,73.24,74.09,71.41,72.61,1902205
2016-01-05,72.96,74.39,72.12,73.2,1432949
2016-01-06,71.99,73.26,69.11,70.27,1833450
2016-01-07,68.19,69.51,66.04,66.85,1758705
2016-01-08,67.6,68.71,64.82,65.1,2269534
2016-01-11,65.23,66.39,62.04,65.17,3104315
2016-01-12,65.67,69.01,63.41,65.97,2244257
2016-01-13,66.44,67.93,61.63,61.83,1952088
2016-01-14,62.05,66.65,58.55,65.72,2594733
2016-01-15,63.85,66.08,62.55,65.8,2309469
2016-01-19,67.19,67.45,62.15,64.43,1926113
2016-01-20,62.69,65.94,61.25,64.64,1548823
2016-01-21,64.88,66.72,63.14,63.66,1244581
2016-01-22,65.1,66.37,63.5,64.3,1329696
2016-01-25,64.21,64.99,62.69,63.47,1150614
2016-01-26,63.67,64.83,61.5,64.31,1176852
2016-01-27,64.28,65.97,61.89,62.36,1702057
2016-01-28,63.44,63.49,56.49,57.3,2884175
2016-01-29,58.1,59.39,56.95,58.09,2878747
2016-02-01,57.72,63.05,57.5,62.16,2530937
2016-02-02,65.0,68.18,62.68,65.71,6064983
2016-02-03,66.83,68.85,64.27,68.32,3971045
2016-02-04,68.0,71.18,67.61,68.8,2267970
2016-02-05,69.22,71.42,68.83,69.48,2827534
2016-02-08,68.6,68.67,63.1,65.14,2551660
2016-02-09,64.26,66.61,60.63,63.01,3591263
2016-02-10,63.92,65.42,62.11,62.49,2365918
2016-02-11,61.13,61.74,59.4,60.52,2390468
2016-02-12,61.44,63.01,58.86,62.35,1935178
2016-02-16,63.89,64.29,62.4,64.22,1622711
2016-02-17,65.64,68.08,64.84,67.33,1707971
2016-02-18,67.09,67.32,64.63,66.2,1368112
2016-02-19,66.21,66.89,64.0,64.74,1427440
2016-02-22,65.64,65.98,63.68,65.27,2061134
2016-02-23,65.0,67.56,64.98,65.34,1137545
2016-02-24,64.32,66.4,63.12,66.26,1636861
2016-02-25,66.52,68.69,65.9,67.32,1212230
2016-02-26,67.83,70.57,67.31,69.24,1848456
2016-02-29,68.05,68.88,64.6,65.03,3442778
2016-03-01,65.62,65.88,63.37,65.65,3064423
2016-03-02,65.58,66.82,64.81,66.47,1499418
2016-03-03,65.47,65.55,62.9,63.59,1711771
2016-03-04,63.54,64.31,61.54,62.15,1720502
2016-03-07,62.1,67.23,61.13,64.92,1771029
2016-03-08,64.84,64.84,61.78,61.92,2018657
2016-03-09,62.19,64.3,61.92,63.43,1905604
2016-03-10,63.46,64.36,62.1,63.5,1537754
2016-03-11,64.79,69.08,64.46,68.97,2817102
2016-03-14,68.78,69.86,67.58,69.61,1789035
2016-03-15,67.78,67.78,57.69,59.51,10051291
2016-03-16,58.24,59.14,50.9,55.69,18445514
2016-03-17,56.36,56.71,51.04,53.42,8545737
2016-03-18,53.31,57.0,51.14,54.62,8901488
2016-03-21,54.93,59.78,54.53,58.96,4499221
2016-03-22,57.83,61.83,57.21,61.05,3062231
2016-03-23,60.97,61.94,59.61,60.44,1975741
2016-03-24,59.68,61.46,58.66,60.06,2265301
2016-03-28,60.67,61.24,58.43,58.98,2257179
2016-03-29,58.39,61.47,57.62,61.36,2098856
2016-03-30,61.73,62.37,59.83,59.91,1526334
2016-03-31,60.65,62.0,58.93,61.28,1796371
2016-04-01,60.23,64.92,60.23,64.31,2552185
2016-04-04,64.18,64.59,63.04,63.75,2465838
2016-04-05,63.65,65.2,62.38,62.5,2310715
2016-04-06,62.5,65.4,61.35,65.23,2317714
2016-04-07,65.4,66.42,63.38,64.26,2053586
2016-04-08,64.93,65.5,63.1,63.29,1766579
2016-04-11,63.45,63.45,61.01,61.15,1933914
2016-04-12,60.25,60.36,56.85,58.4,3105829
2016-04-13,58.79,60.66,57.68,60.13,2460099
2016-04-14,59.95,60.47,58.66,58.92,1511890
2016-04-15,59.12,60.36,59.0,59.11,2011118
2016-04-18,58.67,60.49,58.16,60.37,1759514
2016-04-19,60.67,62.96,60.53,61.86,2063483
