Date,Open,High,Low,Close,Volume
2016-01-04,12.56,13.0,12.38,12.82,12657706
2016-01-05,12.79,12.86,12.33,12.76,9776980
2016-01-06,12.25,12.27,11.14,11.28,15837537
2016-01-07,10.83,11.18,10.55,10.67,20172902
2016-01-08,10.78,10.91,9.86,10.35,34056366
2016-01-11,10.4,10.41,9.37,9.62,22275284
2016-01-12,9.7,9.76,8.71,9.19,25506021
2016-01-13,9.4,9.64,8.44,8.54,26821859
2016-01-14,8.7,9.24,8.36,9.07,33822930
2016-01-15,8.14,8.37,7.71,8.14,39539926
2016-01-19,8.21,8.26,7.49,7.68,29475253
2016-01-20,7.34,8.04,7.08,7.86,45432973
2016-01-21,7.75,8.89,7.72,8.79,37165489
2016-01-22,10.19,10.63,8.64,9.02,38930796
2016-01-25,8.75,9.19,8.12,8.14,19357880
2016-01-26,8.36,8.5,7.93,8.45,16321307
2016-01-27,8.34,9.35,8.18,8.75,27250703
2016-01-28,9.34,9.55,8.84,9.17,20970031
2016-01-29,9.22,9.85,9.17,9.73,20636514
2016-02-01,9.38,9.8,9.22,9.74,17303062
2016-02-02,9.32,9.34,8.69,8.74,19931637
2016-02-03,9.02,9.43,8.44,9.42,23830210
2016-02-04,9.55,10.28,9.09,9.19,33450476
2016-02-05,9.07,9.1,8.34,8.46,29542341
2016-02-08,8.26,8.46,7.63,7.82,45555572
2016-02-09,7.63,7.71,7.03,7.29,24275254
2016-02-10,7.23,7.62,7.01,7.13,21647985
2016-02-11,6.92,7.3,6.52,7.06,36821777
2016-02-12,7.22,7.66,7.04,7.49,30414555
2016-02-16,7.76,7.84,7.18,7.4,22392773
2016-02-17,7.67,7.72,6.75,7.41,63308020
2016-02-18,7.6,7.62,6.7,6.93,54942069
2016-02-19,6.85,6.88,6.52,6.73,38603216
2016-02-22,6.97,7.5,6.85,7.49,34547189
2016-02-23,7.3,7.46,6.9,7.03,27982474
2016-02-24,6.75,7.25,6.66,7.22,18784966
2016-02-25,7.25,7.43,6.96,7.39,20674316
2016-02-26,7.75,8.2,7.59,8.03,36399437
2016-02-29,8.49,8.53,7.97,8.21,37366927
2016-03-01,7.78,8.07,7.56,7.96,273915787
2016-03-02,7.94,9.15,7.9,9.1,74478036
2016-03-03,9.03,10.0,8.97,9.97,65396880
2016-03-04,10.36,11.48,10.08,11.0,86920526
2016-03-07,11.12,11.59,10.72,11.03,57403878
2016-03-08,10.84,10.87,9.92,10.12,35390413
2016-03-09,10.51,10.68,10.08,10.48,30855458
2016-03-10,10.31,10.62,10.01,10.59,33982417
2016-03-11,11.14,11.35,10.95,11.16,31816613
2016-03-14,10.86,11.32,10.68,11.09,28441295
2016-03-15,10.85,11.31,10.6,11.31,23912140
2016-03-16,11.59,11.83,11.09,11.52,32537926
2016-03-17,11.72,11.75,11.31,11.45,30738293
2016-03-18,11.72,11.88,11.2,11.63,41194864
2016-03-21,11.47,11.84,11.26,11.43,26555659
2016-03-22,11.26,11.58,11.25,11.31,22893938
2016-03-23,11.14,11.23,10.12,10.19,31211331
2016-03-24,9.77,10.45,9.65,10.29,28977704
2016-03-28,10.33,10.44,9.81,10.16,22591985
2016-03-29,9.92,10.47,9.77,10.4,23907862
2016-03-30,10.73,10.8,10.24,10.53,22276722
2016-03-31,10.52,11.24,10.42,11.14,40194035
2016-04-01,10.75,10.79,10.38,10.56,29026453
2016-04-04,10.52,11.0,10.41,10.53,21857750
2016-04-05,10.4,10.87,10.32,10.63,21268226
2016-04-06,10.81,11.26,10.68,11.02,26230472
2016-04-07,10.88,11.29,10.78,11.22,23324238
2016-04-08,11.66,11.78,11.4,11.78,24333781
2016-04-11,11.92,12.16,11.62,11.67,24255161
2016-04-12,12.03,13.39,11.87,13.12,43859658
2016-04-13,12.97,13.3,12.51,12.92,30738504
2016-04-14,13.02,13.23,12.72,13.11,21202105
2016-04-15,12.92,13.22,12.74,13.01,19435884
2016-04-18,12.29,13.54,12.28,13.36,23974465
2016-04-19,13.54,14.17,13.45,13.95,27566812
2016-04-20,13.89,14.34,13.51,14.06,26452600
2016-04-21,14.18,14.25,13.77,13.86,23497767
2016-04-22,13.97,14.4,13.95,14.34,26833695
2016-04-25,14.25,14.29,13.71,13.83,21622786
2016-04-26,14.09,14.54,13.88,14.44,24225446
2016-04-27,14.7,15.14,14.46,14.84,29898415
2016-04-28,14.79,15.07,14.32,14.35,21443490
2016-04-29,14.54,14.88,13.72,14.09,27949366
2016-05-02,14.02,14.08,13.12,13.55,26199174
2016-05-03,13.14,13.39,12.51,12.79,25325697
2016-05-04,12.85,13.08,12.09,12.17,25104609
2016-05-05,12.75,12.81,11.89,12.07,26854508
2016-05-06,11.87,12.54,11.78,12.03,21628548
2016-05-09,11.89,11.96,11.28,11.44,21205911
2016-05-10,11.54,11.95,11.46,11.94,17096007
2016-05-11,11.91,12.83,11.58,12.46,22795674
2016-05-12,12.73,13.14,12.16,12.33,25065839
2016-05-13,12.24,12.61,12.18,12.3,15048577
2016-05-16,12.77,13.13,12.7,12.78,17286684
2016-05-17,12.9,13.2,12.68,12.86,16158110
2016-05-18,12.78,13.08,12.56,12.66,15023817
2016-05-19,12.35,12.88,12.11,12.74,17301021
2016-05-20,12.83,13.11,12.58,13.11,17177884
2016-05-23,12.87,13.29,12.83,13.19,16855868
2016-05-24,13.24,13.3,12.9,13.02,18330144
2016-05-25,13.23,13.6,13.14,13.54,16993225
2016-05-26,13.8,13.89,13.17,13.17,17203959
2016-05-27,13.06,13.1,12.77,12.9,16120058
2016-05-31,13.11,13.58,12.94,13.07,19678387
2016-06-01,12.88,13.32,12.68,13.23,17141817
2016-06-02,13.01,13.47,12.96,13.38,13965133
2016-06-03,13.36,13.57,13.07,13.32,14767936
2016-06-06,13.65,14.0,13.52,13.96,16295363
2016-06-07,14.15,14.74,13.97,14.62,24183967
2016-06-08,15.0,15.15,14.42,14.53,20238283
2016-06-09,14.18,14.47,14.1,14.26,14134252
2016-06-10,13.97,13.99,13.4,13.42,16791191
2016-06-13,13.24,13.71,13.15,13.28,17032334
2016-06-14,13.26,13.5,12.84,13.23,12107606
2016-06-15,13.06,13.49,12.89,13.06,13088068
2016-06-16,12.9,12.91,12.22,12.67,16743710
2016-06-17,12.98,13.38,12.93,13.16,17879354
2016-06-20,13.85,14.73,13.83,14.48,39534040
2016-06-21,14.74,15.18,14.2,15.09,34467357
2016-06-22,15.13,15.32,14.56,14.75,21281059
2016-06-23,15.02,15.28,14.78,15.27,19493993
2016-06-24,14.31,14.94,14.28,14.59,33429453
2016-06-27,14.3,14.42,13.12,13.66,23977456
