Date,Open,High,Low,Close,Volume
2016-01-04,185.98,187.6,185.31,187.51,1474043
2016-01-05,187.85,192.86,187.85,192.39,2302162
2016-01-06,190.16,193.2,190.0,190.47,1879674
2016-01-07,187.9,189.68,186.01,188.11,2136078
2016-01-08,188.79,189.74,185.9,186.07,1503322
2016-01-11,187.48,188.71,185.51,188.11,1773845
2016-01-12,189.06,189.47,187.53,188.92,1010457
2016-01-13,189.0,189.44,184.57,184.86,1094261
2016-01-14,184.86,186.51,182.87,185.55,1062079
2016-01-15,181.0,185.1,180.32,184.21,1529826
2016-01-19,186.37,187.28,183.56,186.75,2142292
2016-01-20,183.84,185.17,178.98,182.56,1841041
2016-01-21,183.47,184.13,180.96,181.22,1031576
2016-01-22,183.23,184.45,182.01,184.11,857305
2016-01-25,184.09,184.6,181.62,181.83,984774
2016-01-26,181.47,182.74,178.87,182.5,1473397
2016-01-27,181.43,182.49,177.83,178.19,1612181
2016-01-28,176.4,181.19,175.0,180.15,2078993
2016-01-29,181.43,185.34,180.03,185.06,1824788
2016-02-01,186.38,189.75,184.62,188.64,1426039
2016-02-02,186.93,189.18,186.45,187.44,1137943
2016-02-03,188.61,190.05,187.0,189.77,1317316
2016-02-04,188.8,189.9,185.31,186.35,1546906
2016-02-05,186.72,188.59,185.34,186.49,1806985
2016-02-08,184.74,187.93,184.0,185.62,1692608
2016-02-09,184.17,188.39,184.01,187.32,1193760
2016-02-10,187.74,189.52,187.22,188.33,1013236
2016-02-11,185.12,186.57,180.1,183.91,1485215
2016-02-12,184.56,185.57,180.46,181.25,1592521
2016-02-16,182.4,185.89,180.15,184.22,2048729
2016-02-17,185.61,191.13,184.45,190.06,1226161
2016-02-18,190.7,193.75,190.01,192.68,1340139
2016-02-19,192.16,192.64,190.06,190.68,1526557
2016-02-22,190.78,193.4,190.66,192.27,1062567
2016-02-23,192.03,193.32,190.75,191.31,802550
2016-02-24,190.76,190.92,188.06,190.02,1020408
2016-02-25,190.05,192.96,189.42,192.93,812202
2016-02-26,193.0,193.68,191.94,192.22,861914
2016-02-29,191.99,194.8,191.34,192.22,1169935
2016-03-01,193.34,194.68,192.43,193.88,1214630
2016-03-02,193.66,194.7,191.83,193.32,781433
2016-03-03,192.83,193.53,189.32,192.12,1137039
2016-03-04,191.62,192.44,190.05,191.07,1290639
2016-03-07,190.09,191.16,186.35,186.68,1410251
2016-03-08,185.43,187.67,185.08,186.86,1673781
2016-03-09,188.26,188.34,186.49,186.74,1389878
2016-03-10,187.09,189.0,186.41,186.75,1161695
2016-03-11,188.9,191.25,188.16,189.89,1005429
2016-03-14,189.17,190.15,187.7,188.57,978904
2016-03-15,188.04,191.95,187.52,191.67,911837
2016-03-16,190.54,192.43,190.0,191.57,876711
2016-03-17,191.6,192.28,190.16,190.91,1253429
2016-03-18,191.68,194.42,191.04,193.99,1349549
2016-03-21,193.35,195.47,193.21,194.18,839203
2016-03-22,194.16,195.17,193.58,194.34,720090
2016-03-23,193.96,195.64,193.87,194.96,984411
2016-03-24,193.67,194.68,193.25,194.2,737652
2016-03-28,194.21,195.44,194.21,194.88,623318
2016-03-29,194.25,196.75,194.25,196.68,551419
2016-03-30,197.23,198.88,197.1,198.73,1231055
2016-03-31,199.0,199.5,197.31,197.9,1881048
2016-04-01,196.59,200.78,195.66,200.31,1117670
2016-04-04,200.81,202.05,200.05,201.18,736475
2016-04-05,200.75,203.88,200.75,202.27,873015
2016-04-06,201.84,202.5,200.76,202.1,1717732
2016-04-07,201.52,202.0,199.66,200.55,853109
2016-04-08,201.63,202.0,200.09,200.57,737831
2016-04-11,200.66,201.72,199.49,199.51,795785
2016-04-12,200.05,201.03,199.5,200.2,706033
2016-04-13,200.68,201.3,199.02,201.13,670508
2016-04-14,201.42,201.82,199.88,200.13,504367
2016-04-15,199.64,201.92,198.75,201.88,940479
2016-04-18,202.0,202.88,201.33,202.79,664529
2016-04-19,203.0,203.41,201.45,201.59,799629
2016-04-20,202.07,202.7,201.45,201.58,883196
2016-04-21,200.98,201.65,199.86,200.0,835410
2016-04-22,200.23,201.64,199.26,200.75,853855
2016-04-25,200.25,200.93,199.52,200.73,698418
2016-04-26,200.88,203.99,200.88,203.57,1390732
2016-04-27,207.0,208.99,200.55,207.0,1476280
2016-04-28,206.5,207.68,205.02,205.61,969840
2016-04-29,205.52,206.37,204.52,206.26,937970
2016-05-02,206.87,208.63,205.83,208.31,1039836
2016-05-03,207.44,209.79,206.75,209.6,953312
2016-05-04,208.6,210.74,208.08,210.55,1281887
2016-05-05,210.67,212.01,210.43,211.93,1100739
2016-05-06,211.73,214.17,211.61,214.1,821520
2016-05-09,214.3,215.6,212.97,214.63,830496
2016-05-10,215.08,217.64,214.72,217.43,904887
2016-05-11,217.45,218.4,214.14,214.32,872936
2016-05-12,214.55,218.84,214.55,217.98,1337543
