Date,Open,High,Low,Close,Volume
2016-01-04,33.51,34.61,33.36,34.61,6558274
2016-01-05,34.01,34.22,33.09,33.62,5106165
2016-01-06,32.78,32.78,31.14,31.34,6500249
2016-01-07,30.68,31.48,30.26,30.74,7140387
2016-01-08,30.85,30.93,29.68,29.94,8321213
2016-01-11,30.01,30.15,29.55,29.95,7407099
2016-01-12,30.39,30.6,29.75,30.43,7235102
2016-01-13,30.82,31.01,29.01,29.08,8843024
2016-01-14,29.35,30.67,28.51,30.51,8101919
2016-01-15,29.13,29.98,29.04,29.95,8360361
2016-01-19,30.18,30.23,28.91,29.53,5921749
2016-01-20,28.8,30.23,28.54,29.72,8214295
2016-01-21,29.54,31.2,29.36,30.67,5518511
2016-01-22,31.58,31.96,30.44,31.23,6998135
2016-01-25,30.62,30.91,29.66,29.69,5821233
2016-01-26,30.12,30.86,29.88,30.43,5595469
2016-01-27,30.36,31.97,29.96,31.1,8110188
2016-01-28,32.04,32.63,30.85,31.06,8690804
2016-01-29,31.26,32.65,31.14,32.54,6387568
2016-02-01,31.93,32.35,31.07,31.99,5568960
2016-02-02,31.21,31.3,30.4,30.67,6713957
2016-02-03,28.09,28.19,26.1,28.0,28971996
2016-02-04,28.04,28.84,27.75,28.58,13817247
2016-02-05,28.27,28.92,27.96,28.47,10261553
2016-02-08,27.83,28.52,27.22,28.4,6804992
2016-02-09,28.24,28.25,27.02,27.56,7759255
2016-02-10,27.41,28.16,26.65,26.69,6152490
2016-02-11,26.17,26.7,25.74,26.34,8418806
2016-02-12,26.69,27.74,26.56,27.55,5807733
2016-02-16,28.05,28.2,27.34,28.06,5122403
2016-02-17,28.41,29.16,28.34,29.11,7287498
2016-02-18,29.42,29.49,28.67,29.35,5117122
2016-02-19,28.96,29.3,28.71,29.3,3857717
2016-02-22,30.02,30.13,29.37,29.4,5882572
2016-02-23,29.35,29.8,28.62,28.65,4636669
2016-02-24,27.94,28.3,27.27,28.24,4727239
2016-02-25,28.35,28.42,27.06,27.66,5656339
2016-02-26,28.37,29.31,28.29,28.81,5673125
2016-02-29,29.1,29.6,28.87,29.27,5867240
2016-03-01,29.64,30.0,29.14,29.51,7818585
2016-03-02,29.37,30.6,28.87,30.5,7331301
2016-03-03,30.62,31.99,30.47,31.76,10046120
2016-03-04,31.98,32.68,31.66,32.5,11050661
2016-03-07,32.28,35.2,32.21,34.93,17150356
2016-03-08,34.61,34.76,31.48,31.5,8481740
2016-03-09,31.37,32.15,30.6,31.38,6550586
2016-03-10,31.2,31.58,30.66,31.5,4548958
2016-03-11,32.17,33.54,32.04,33.39,5769804
2016-03-14,32.88,33.84,32.7,33.44,6165705
2016-03-15,32.95,33.17,32.05,33.11,4020306
