Date,Open,High,Low,Close,Volume
2016-01-04,39.64,40.06,39.23,39.55,4026297
2016-01-05,39.9,40.03,39.46,39.96,3514467
2016-01-06,39.22,39.71,39.1,39.36,1630997
2016-01-07,38.59,38.61,36.98,37.35,5617073
2016-01-08,37.46,37.75,36.36,36.44,3401166
2016-01-11,36.74,36.82,35.8,36.14,3334251
2016-01-12,36.45,36.85,35.44,36.29,4249003
2016-01-13,36.61,37.07,35.55,35.62,3469414
2016-01-14,35.88,36.59,35.5,36.22,3819038
2016-01-15,35.28,35.54,34.72,35.15,3353906
2016-01-19,35.79,35.9,34.74,35.27,3208474
2016-01-20,34.61,35.4,33.9,34.98,3577953
2016-01-21,34.95,35.58,34.7,35.01,2826107
2016-01-22,35.64,35.86,35.02,35.36,2835793
2016-01-25,35.27,35.58,34.82,34.86,2319804
2016-01-26,35.33,36.88,35.25,36.54,3706961
2016-01-27,35.95,36.63,35.57,35.7,3324046
2016-01-28,37.0,37.0,34.9,36.64,3969987
2016-01-29,36.71,39.11,36.64,39.07,6015791
2016-02-01,38.71,39.23,38.0,39.18,3355914
2016-02-02,38.67,38.76,38.18,38.49,2946315
2016-02-03,38.98,40.01,38.47,39.91,2840021
2016-02-04,40.33,41.16,40.1,40.47,2901554
2016-02-05,40.14,41.24,39.67,39.92,2775298
2016-02-08,39.87,39.97,39.11,39.39,2595928
2016-02-09,38.92,39.38,38.29,38.91,2635008
2016-02-10,38.99,39.94,38.75,38.95,1624287
2016-02-11,38.51,38.69,37.71,38.35,2081757
2016-02-12,39.19,40.06,38.64,40.03,2502321
2016-02-16,40.23,40.5,39.65,40.18,2438317
2016-02-17,40.55,41.08,40.45,40.76,2604303
2016-02-18,40.72,40.83,39.82,40.03,2544092
2016-02-19,39.86,39.87,39.11,39.39,2708677
2016-02-22,39.85,40.1,39.56,39.76,2662395
2016-02-23,39.37,39.56,38.88,38.9,2079014
2016-02-24,38.26,39.06,37.77,39.02,2957719
2016-02-25,38.94,39.75,38.79,39.75,2162132
2016-02-26,39.92,40.42,39.7,39.96,1851263
2016-02-29,39.31,39.9,39.08,39.34,2811332
2016-03-01,39.96,41.2,39.62,40.96,2173213
2016-03-02,41.35,42.31,41.21,42.24,2950237
2016-03-03,42.29,43.2,42.14,42.75,3967324
2016-03-04,42.95,43.84,42.2,42.96,3443488
2016-03-07,43.16,44.77,43.0,44.76,3607374
2016-03-08,44.14,44.95,44.04,44.32,3741939
2016-03-09,44.47,44.78,43.28,43.54,2826683
2016-03-10,43.6,45.07,43.46,44.99,2733679
2016-03-11,45.36,45.44,44.28,45.38,2944157
2016-03-14,45.04,45.65,44.69,45.15,2380114
2016-03-15,44.73,45.49,44.39,45.05,2126336
2016-03-16,44.72,45.61,44.49,45.49,3248632
2016-03-17,45.86,46.76,45.25,46.65,3108100
2016-03-18,46.76,47.36,46.34,46.7,3118169
2016-03-21,46.57,46.69,45.86,46.41,1748622
2016-03-22,45.93,46.86,45.91,46.59,1966484
2016-03-23,46.09,46.67,45.88,46.05,2513079
2016-03-24,45.56,46.54,45.52,46.48,1996319
2016-03-28,46.56,47.19,46.21,46.86,2637005
2016-03-29,46.27,47.27,45.96,47.24,2679625
2016-03-30,47.57,48.52,47.25,48.31,4987828
2016-03-31,48.18,48.19,47.26,47.3,3959659
2016-04-01,46.83,47.58,46.72,47.52,2415136
2016-04-04,47.41,47.78,46.6,46.68,2355882
2016-04-05,46.5,47.06,46.5,46.78,2048982
2016-04-06,46.84,47.25,46.36,47.22,1715066
2016-04-07,46.78,46.99,46.23,46.56,2154563
2016-04-08,47.13,47.75,47.02,47.29,1954524
2016-04-11,47.61,48.31,47.57,47.67,2827377
2016-04-12,48.04,48.4,47.55,48.09,2638613
2016-04-13,48.74,49.5,48.5,49.09,2748096
2016-04-14,49.19,49.37,48.83,49.31,2066810
2016-04-15,49.21,49.56,48.93,49.51,2166210
2016-04-18,49.35,49.94,49.23,49.86,2280025
2016-04-19,50.14,50.78,50.0,50.46,2860868
2016-04-20,50.61,50.72,49.79,50.28,2870609
2016-04-21,49.96,50.14,48.59,49.5,2591667
2016-04-22,49.15,50.15,49.15,49.55,2315777
2016-04-25,49.25,49.66,48.83,49.12,2533095
2016-04-26,49.43,49.6,48.65,49.51,3139915
2016-04-27,49.61,50.66,48.92,50.61,2255087
2016-04-28,50.31,51.1,49.8,49.94,2601034
2016-04-29,49.96,50.41,49.38,49.78,5644993
2016-05-02,49.74,50.4,49.42,50.3,2266018
2016-05-03,49.44,49.53,48.3,48.73,3718814
2016-05-04,48.29,49.05,47.82,48.5,3936503
2016-05-05,48.73,49.04,48.11,48.46,2480180
2016-05-06,48.41,48.96,47.88,48.85,2085048
2016-05-09,47.89,48.13,46.45,46.48,3288389
2016-05-10,46.76,47.96,46.57,47.92,2705066
2016-05-11,47.98,48.56,47.53,47.61,1914175
2016-05-12,47.98,48.18,47.22,47.44,2086462
2016-05-13,47.28,47.59,46.86,47.06,2301827
2016-05-16,47.29,48.3,47.29,47.81,2027943
2016-05-17,47.64,47.81,46.34,46.56,3935864
2016-05-18,46.26,46.98,45.65,45.86,1904032
2016-05-19,45.45,46.66,45.32,46.54,2335564
2016-05-20,46.88,46.98,46.37,46.53,1701307
2016-05-23,46.23,47.16,46.03,46.83,1794739
2016-05-24,47.1,47.37,46.81,47.16,1911762
2016-05-25,47.38,48.53,47.14,48.39,2372822
2016-05-26,49.23,49.55,48.33,48.51,1939190
2016-05-27,48.42,48.66,47.69,48.39,2704600
2016-05-31,48.61,49.03,48.13,48.51,2357019
2016-06-01,48.07,48.88,47.91,48.8,1866926
2016-06-02,48.52,49.16,48.39,49.16,1868723
2016-06-03,49.32,49.91,48.88,49.88,2626048
2016-06-06,49.89,50.5,49.8,50.42,2112450
2016-06-07,50.26,50.65,50.13,50.37,2119444
2016-06-08,50.98,51.99,50.94,51.76,3064195
2016-06-09,51.18,51.22,50.36,50.55,2969347
2016-06-10,50.18,50.85,50.02,50.5,2523711
2016-06-13,50.73,50.85,49.96,49.98,2994660
2016-06-14,50.1,50.26,49.2,49.52,1895589
2016-06-15,50.15,50.66,49.64,50.45,3197393
2016-06-16,50.1,50.69,49.81,50.65,2178482
2016-06-17,50.81,51.14,50.22,50.35,3038426
2016-06-20,51.15,51.84,51.07,51.3,2320029
2016-06-21,51.26,51.27,49.67,49.99,3880708
2016-06-22,50.34,50.48,49.41,49.57,3564932
2016-06-23,50.29,50.5,49.51,50.5,3166006
2016-06-24,48.71,49.33,47.71,47.87,4073883
2016-06-27,47.41,47.5,46.1,46.31,3239689
2016-06-28,46.68,47.49,46.45,47.33,3246903
2016-06-29,47.92,48.24,47.82,47.92,2676428
2016-06-30,48.26,49.41,48.08,49.41,2364030
2016-07-01,49.34,50.33,49.29,49.97,2516459
2016-07-05,49.71,49.86,48.69,48.96,3385514
2016-07-06,49.23,51.11,49.16,51.08,4712304
2016-07-07,51.04,51.76,50.95,51.51,3399066
2016-07-08,52.0,53.32,51.88,53.19,3674096
2016-07-11,53.5,54.5,53.5,54.46,3465213
2016-07-12,55.25,56.63,55.17,56.34,5238217
2016-07-13,56.61,56.84,55.56,56.42,3009703
2016-07-14,56.63,57.08,56.18,56.79,2563169
2016-07-15,56.72,56.99,56.31,56.67,3015674
2016-07-18,56.45,56.91,56.21,56.9,2133055
2016-07-19,56.13,56.45,54.91,55.71,4326598
2016-07-20,54.48,54.54,53.51,54.09,5542286
2016-07-21,54.18,54.48,52.07,52.32,4548524
2016-07-22,52.19,52.96,52.12,52.72,2618365
2016-07-25,52.62,52.92,52.06,52.39,2213268
2016-07-26,52.4,53.73,52.4,53.71,2614817
2016-07-27,54.11,54.34,53.0,53.46,2748669
2016-07-28,53.5,53.92,53.05,53.81,3221696
2016-07-29,53.7,54.0,53.21,53.64,2392171
2016-08-01,53.64,53.75,52.96,53.28,2156686
2016-08-02,53.18,53.29,52.52,53.0,2170872
2016-08-03,52.84,53.53,52.7,53.51,1836189
2016-08-04,53.41,53.62,52.9,53.3,1723697
2016-08-05,53.34,53.57,53.14,53.55,1193951
2016-08-08,53.71,53.71,53.03,53.51,1849180
2016-08-09,53.22,53.25,52.7,52.79,1507835
2016-08-10,52.92,53.0,52.3,52.35,2846446
2016-08-11,52.57,52.8,52.0,52.35,2516523
2016-08-12,52.1,52.19,50.59,50.69,3193956
2016-08-15,50.98,51.88,50.62,51.57,2446388
2016-08-16,51.7,51.87,50.73,50.73,1722428
2016-08-17,50.55,50.75,50.28,50.52,2378732
2016-08-18,50.75,51.0,50.29,50.94,1789414
2016-08-19,50.42,50.6,49.92,50.05,3070824
2016-08-22,49.64,50.33,49.61,50.31,1594724
2016-08-23,50.65,50.98,49.96,50.03,2108462
2016-08-24,49.84,49.88,48.86,48.93,2446878
2016-08-25,48.92,49.44,48.7,48.89,2315143
2016-08-26,49.23,49.89,48.58,48.69,1819048
2016-08-29,48.63,49.58,48.63,49.44,1846950
2016-08-30,49.21,49.33,48.46,48.6,2824254
2016-08-31,48.34,48.73,48.18,48.51,3143745
2016-09-01,48.6,49.47,48.51,49.3,2700557
2016-09-02,49.78,50.34,48.77,49.03,2426077
2016-09-06,49.12,49.68,48.74,49.58,2263766
2016-09-07,49.3,49.97,49.13,49.97,2853731
2016-09-08,49.75,49.75,49.01,49.05,1933001
2016-09-09,48.59,48.61,46.83,46.83,3693100
2016-09-12,46.06,47.89,46.06,47.71,4360456
2016-09-13,46.99,47.13,45.75,46.02,3451413
2016-09-14,45.5,45.76,44.81,45.35,4593590
2016-09-15,45.27,45.85,44.94,45.62,3037582
2016-09-16,45.52,46.12,45.18,45.74,3482514
2016-09-19,46.28,46.46,45.82,46.0,2460276
2016-09-20,46.18,46.36,45.9,46.17,3010053
2016-09-21,46.5,47.9,46.5,47.86,3562491
2016-09-22,48.65,48.92,47.81,47.87,2252253
2016-09-23,47.62,49.0,47.55,48.81,5321457
2016-09-26,48.66,49.19,48.43,48.92,3697703
2016-09-27,48.6,49.18,48.35,49.07,2447500
2016-09-28,49.07,49.76,48.93,49.73,2125259
2016-09-29,49.67,49.97,48.62,48.86,2100186
2016-09-30,49.05,49.72,48.72,49.45,2745733
2016-10-03,49.25,49.41,48.54,48.82,3005347
2016-10-04,48.55,48.67,47.54,47.62,2642615
2016-10-05,48.04,48.2,47.67,48.05,2297282
2016-10-06,47.83,48.21,47.73,47.96,2068584
2016-10-07,48.21,48.39,46.82,47.39,2361188
2016-10-10,47.7,48.33,47.64,47.73,1434067
2016-10-11,47.43,48.06,47.24,47.4,2065539
2016-10-12,47.46,47.71,47.02,47.25,3907257
2016-10-13,46.55,46.76,45.9,46.54,3182734
2016-10-14,46.88,47.26,46.72,46.86,2096934
2016-10-17,46.96,47.35,46.79,46.8,1912156
2016-10-18,47.38,47.46,46.71,47.15,3142358
2016-10-19,47.37,48.23,47.29,48.03,3102166
2016-10-20,47.68,48.89,45.3,48.36,5786608
2016-10-21,47.92,48.21,47.3,47.87,3547581
2016-10-24,48.31,48.32,47.58,47.68,1812064
2016-10-25,47.97,47.97,46.86,47.0,2818200
2016-10-26,46.96,47.46,46.52,47.34,1857829
2016-10-27,47.32,47.32,46.61,46.74,2674094
2016-10-28,46.75,48.3,46.64,47.61,2717363
2016-10-31,47.87,48.95,47.68,48.85,3179000
2016-11-01,49.14,49.29,47.53,47.83,3503596
2016-11-02,47.59,48.99,47.59,48.15,2752612
2016-11-03,48.25,49.03,48.23,48.78,2057091
2016-11-04,48.74,50.42,48.62,49.95,3393311
2016-11-07,50.85,51.54,50.79,51.33,3516558
2016-11-08,50.91,51.94,50.59,51.37,1893579
2016-11-09,54.23,58.53,54.23,57.62,9065616
2016-11-10,57.52,59.82,57.41,59.14,7220694
2016-11-11,59.25,59.58,57.65,58.75,4541860
2016-11-14,59.42,60.09,59.08,59.6,4010658
2016-11-15,58.6,60.35,58.41,60.33,4270066
2016-11-16,59.84,60.06,59.25,59.85,3335548
2016-11-17,59.85,60.03,59.25,59.45,2943184
2016-11-18,59.28,59.57,58.66,58.84,3053399
2016-11-21,59.4,59.78,58.96,59.66,2120948
2016-11-22,60.21,62.4,60.21,62.31,4699324
2016-11-23,61.86,62.67,61.53,62.51,2850230
2016-11-25,62.75,62.9,62.35,62.85,855138
2016-11-28,62.67,62.75,61.61,61.97,2721497
2016-11-29,60.29,62.02,59.37,61.63,3220670
2016-11-30,62.47,63.27,61.88,62.19,3445496
2016-12-01,62.59,63.0,61.67,61.95,2943358
2016-12-02,61.92,63.05,61.67,63.03,2060306
2016-12-05,64.03,65.18,63.94,65.1,3630923
2016-12-06,64.96,65.64,64.42,65.58,2844650
2016-12-07,65.91,67.12,65.66,66.75,3006866
2016-12-08,67.09,68.0,66.26,66.41,3825396
2016-12-09,66.25,66.37,64.68,65.37,2949417
2016-12-12,65.9,65.94,63.89,64.1,3319767
2016-12-13,64.41,64.85,63.05,63.43,3699171
2016-12-14,63.3,64.32,62.9,63.04,2942486
2016-12-15,61.8,63.34,61.01,62.87,5294356
