Date,Open,High,Low,Close,Volume
2016-01-04,52.79,52.81,51.72,52.43,910222
2016-01-05,52.72,53.26,52.49,53.01,726181
2016-01-06,52.1,52.86,52.02,52.25,2087767
2016-01-07,51.0,51.41,49.85,50.06,848553
2016-01-08,50.27,50.75,49.27,49.32,866734
2016-01-11,49.55,49.76,47.25,47.75,1677393
2016-01-12,48.17,48.68,47.75,48.55,733373
2016-01-13,48.67,48.76,46.84,47.09,535705
2016-01-14,47.36,48.49,47.04,48.1,765803
2016-01-15,46.78,47.5,46.78,47.41,879228
2016-01-19,48.12,48.12,46.92,47.77,622796
2016-01-20,47.0,48.68,46.57,48.16,1033687
2016-01-21,48.21,48.24,47.27,47.52,638606
2016-01-22,48.12,49.15,47.75,49.13,718164
2016-01-25,48.85,49.13,48.24,48.39,462681
2016-01-26,48.51,48.97,47.8,48.93,613133
2016-01-27,48.85,49.65,48.22,48.61,872722
2016-01-28,48.59,48.59,46.6,46.97,1033211
2016-01-29,47.17,48.34,47.06,48.32,1191389
2016-02-01,48.11,48.51,47.28,48.23,1583462
2016-02-02,47.68,47.93,47.18,47.53,752811
2016-02-03,47.71,47.71,45.75,46.8,1043860
2016-02-04,46.71,47.43,46.18,46.58,1117280
2016-02-05,42.46,45.2,39.5,43.26,3341069
2016-02-08,42.65,42.98,41.02,41.45,1328808
2016-02-09,40.91,43.19,40.41,42.47,1359312
2016-02-10,42.85,44.97,42.68,43.99,1335729
2016-02-11,43.18,43.68,42.81,43.41,1513909
2016-02-12,44.4,44.59,43.59,44.41,1271997
2016-02-16,44.98,46.09,44.81,45.67,1181745
2016-02-17,45.9,46.26,45.6,45.7,1240511
2016-02-18,45.69,46.57,45.49,45.68,891536
2016-02-19,45.57,47.04,45.43,46.97,2935437
2016-02-22,47.4,47.99,47.03,47.79,1200311
2016-02-23,47.54,48.14,47.0,47.2,1013520
2016-02-24,46.75,47.67,46.59,47.37,892641
2016-02-25,47.28,47.94,47.12,47.62,915013
2016-02-26,47.73,48.3,47.65,47.95,1087534
2016-02-29,47.84,48.2,47.26,47.26,942229
2016-03-01,47.31,47.97,47.27,47.96,1431165
2016-03-02,47.91,49.45,47.72,49.16,1669910
2016-03-03,49.2,49.25,48.43,48.94,884248
