Date,Open,High,Low,Close,Volume
2016-01-04,42.36,42.42,41.46,41.9,2846061
2016-01-05,41.99,42.94,41.94,42.78,3262713
2016-01-06,42.12,42.65,42.11,42.55,3384959
2016-01-07,41.72,42.08,41.37,41.44,3902773
2016-01-08,41.57,41.87,41.0,41.07,4161494
2016-01-11,41.22,41.43,40.72,41.02,3435125
2016-01-12,41.46,41.46,40.33,40.69,3781253
2016-01-13,40.87,41.45,40.41,40.5,3581065
2016-01-14,40.59,40.64,39.54,39.65,4008497
2016-01-15,38.83,39.36,38.54,38.81,5183943
2016-01-19,39.29,39.52,38.89,39.04,3768345
2016-01-20,38.61,38.73,36.68,37.41,3711320
2016-01-21,37.59,38.03,37.42,37.73,3419958
2016-01-22,38.14,38.83,38.09,38.59,2648778
2016-01-25,38.64,39.01,38.08,38.22,4375072
2016-01-26,38.5,39.86,38.42,39.85,5813122
2016-01-27,39.57,39.97,39.21,39.47,3898712
2016-01-28,39.82,39.88,38.79,38.88,2699837
2016-01-29,39.52,40.12,38.86,39.47,5154609
2016-02-01,39.18,39.78,39.09,39.47,4242735
2016-02-02,39.3,39.5,38.97,39.27,4360412
2016-02-03,39.6,39.71,39.06,39.52,4000962
2016-02-04,39.36,39.79,39.16,39.58,3361234
2016-02-05,39.24,39.41,39.11,39.24,2584347
2016-02-08,39.02,39.02,37.31,37.65,3528767
2016-02-09,37.27,37.64,36.95,37.4,4147327
2016-02-10,37.6,38.14,37.27,37.3,3918947
2016-02-11,36.67,36.84,35.25,35.57,5388915
2016-02-12,35.96,36.12,35.57,36.07,4116344
2016-02-16,36.42,37.2,36.18,37.16,4056788
2016-02-17,37.37,37.7,37.19,37.46,3951801
2016-02-18,37.43,37.81,37.05,37.67,4005037
2016-02-19,37.42,37.72,37.02,37.33,3158229
2016-02-22,37.84,38.16,37.59,37.71,4117527
2016-02-23,37.48,38.26,37.48,37.91,3195832
2016-02-24,37.66,38.28,37.49,38.17,2789451
2016-02-25,38.46,39.41,38.46,39.07,3454970
2016-02-26,39.07,39.27,38.59,38.61,3008234
2016-02-29,38.54,39.12,38.33,38.46,3601571
2016-03-01,38.88,40.29,38.67,40.28,4798812
2016-03-02,40.12,40.49,39.81,40.47,2030337
2016-03-03,40.47,41.05,40.33,41.02,2384001
2016-03-04,40.94,41.53,40.91,41.49,2780791
2016-03-07,41.19,41.66,41.0,41.6,2000524
2016-03-08,41.51,41.78,41.26,41.34,3084354
2016-03-09,41.47,41.87,41.47,41.72,2762819
2016-03-10,41.76,42.2,40.88,41.4,2447592
2016-03-11,41.97,42.52,41.75,42.49,2255773
2016-03-14,42.29,42.46,41.95,42.39,1802975
2016-03-15,42.17,42.5,41.92,42.35,2845456
2016-03-16,41.77,42.5,41.71,42.33,1636535
2016-03-17,42.46,43.3,42.32,42.97,4819649
2016-03-18,43.06,43.07,42.74,42.75,4224648
2016-03-21,42.61,42.9,42.25,42.61,1910582
2016-03-22,42.43,42.77,42.22,42.56,1818868
2016-03-23,42.59,42.8,42.18,42.18,2254547
2016-03-24,41.9,42.4,41.67,42.32,2232883
2016-03-28,42.58,43.0,42.19,42.95,1936032
2016-03-29,42.96,43.87,42.86,43.84,4436300
2016-03-30,43.93,44.04,43.48,43.67,2743927
2016-03-31,43.67,44.26,43.57,44.18,3775175
2016-04-01,43.98,44.7,43.95,44.62,3709704
2016-04-04,44.69,44.78,44.23,44.39,1988263
2016-04-05,44.03,44.31,43.94,44.12,2061165
2016-04-06,44.11,44.41,43.88,44.05,2239933
2016-04-07,43.89,44.07,43.45,43.65,1953356
2016-04-08,43.87,44.57,43.86,44.12,2265345
2016-04-11,44.2,44.53,43.96,43.97,1843727
2016-04-12,44.12,44.26,43.76,43.97,3902617
