Date,Open,High,Low,Close,Volume
2016-01-04,48.63,49.35,48.18,49.28,1824280
2016-01-05,49.18,49.56,48.23,48.86,787582
2016-01-06,47.87,48.53,47.19,47.74,1123801
2016-01-07,46.67,47.26,46.27,46.48,1642035
2016-01-08,46.77,46.99,45.58,45.64,2436553
2016-01-11,46.17,46.28,44.83,45.5,1910615
2016-01-12,46.14,46.26,45.08,46.12,1695727
2016-01-13,46.34,47.0,44.97,45.07,1613054
2016-01-14,45.3,46.0,44.5,45.51,1679086
2016-01-15,44.27,45.05,43.99,44.62,2035487
2016-01-19,45.33,45.76,43.54,44.08,1089056
2016-01-20,43.26,43.52,42.0,42.99,2255369
2016-01-21,43.22,43.69,42.52,43.38,2347340
2016-01-22,44.26,45.27,43.36,44.1,2003501
2016-01-25,43.99,44.4,43.51,43.58,1940976
2016-01-26,44.1,45.54,43.78,45.31,1641404
2016-01-27,44.69,46.27,44.65,45.12,1640763
2016-01-28,46.1,46.32,44.66,45.47,1696012
2016-01-29,45.71,47.13,45.47,47.12,2161812
2016-02-01,46.57,46.95,45.95,46.63,1525104
2016-02-02,45.47,46.24,44.03,44.6,2697085
2016-02-03,45.23,45.54,43.82,45.45,2017527
2016-02-04,45.52,48.1,45.52,46.81,3012255
2016-02-05,46.56,46.98,45.77,46.25,1920189
2016-02-08,45.73,46.05,44.78,45.63,2894770
2016-02-09,45.0,46.17,44.88,45.2,2530811
2016-02-10,44.84,44.98,42.87,42.88,2572037
2016-02-11,42.19,43.55,41.57,43.08,1838636
2016-02-12,43.72,45.0,43.34,44.4,1048470
2016-02-16,44.9,45.97,44.56,45.74,2710680
2016-02-17,46.59,47.62,45.92,47.49,1280636
2016-02-18,47.38,48.52,47.12,48.27,2304522
2016-02-19,47.87,48.29,47.51,48.01,1758958
2016-02-22,48.8,49.59,48.73,49.13,834626
2016-02-23,48.85,49.48,47.69,47.74,894955
2016-02-24,47.23,47.96,46.5,47.88,1367958
2016-02-25,47.86,48.27,46.6,47.9,1354115
2016-02-26,48.22,48.86,47.94,48.54,1053987
2016-02-29,48.73,48.93,47.71,47.71,884856
2016-03-01,48.27,49.3,47.82,49.16,1251470
2016-03-02,48.99,50.64,48.77,50.61,1732847
2016-03-03,50.6,51.11,50.24,50.88,1284700
2016-03-04,50.81,51.25,50.23,50.54,2076335
2016-03-07,50.33,52.06,50.25,51.88,994774
