Date,Open,High,Low,Close,Volume
2016-01-04,46.4,46.41,45.68,46.14,957926
2016-01-05,46.14,46.4,45.92,46.29,956266
2016-01-06,45.7,45.95,44.82,45.06,783388
2016-01-07,44.35,45.28,43.77,44.9,1915603
2016-01-08,45.15,45.29,43.7,43.79,1096741
2016-01-11,44.03,44.06,42.96,43.8,1729069
2016-01-12,44.15,44.33,43.31,44.02,1060936
2016-01-13,44.08,44.35,42.34,42.42,1573001
2016-01-14,42.66,43.35,41.91,43.02,841664
2016-01-15,41.99,42.51,41.55,42.46,1194653
2016-01-19,42.98,43.14,42.19,42.65,927984
2016-01-20,41.72,42.72,40.8,42.2,1290826
2016-01-21,42.35,42.46,41.61,41.79,1538550
2016-01-22,42.57,43.51,42.3,43.46,1681600
2016-01-25,43.38,43.38,42.65,42.85,725319
2016-01-26,42.92,43.8,42.86,43.77,586699
2016-01-27,43.75,44.06,42.89,43.28,952884
2016-01-28,43.63,43.63,42.75,43.21,1081850
2016-01-29,43.35,44.41,43.05,43.77,3760120
2016-02-01,43.43,43.75,43.11,43.38,2657325
2016-02-02,42.69,43.06,41.76,42.01,2583345
2016-02-03,42.01,42.02,38.55,39.24,3313710
2016-02-04,39.18,40.35,38.93,39.26,2529180
2016-02-05,39.26,40.0,39.07,39.68,1558646
2016-02-08,39.14,39.33,38.22,38.98,1849367
2016-02-09,38.61,39.51,38.15,38.22,1604808
2016-02-10,38.23,38.61,37.69,37.7,1090629
2016-02-11,36.86,37.23,36.17,36.65,1526536
2016-02-12,37.13,37.38,36.7,37.34,1042046
2016-02-16,37.86,38.07,37.39,38.07,1015170
2016-02-17,38.16,38.34,37.8,37.96,1157191
2016-02-18,38.13,38.91,38.03,38.38,1486726
2016-02-19,38.35,38.61,38.03,38.37,1147019
2016-02-22,38.76,39.33,38.76,39.18,981484
2016-02-23,38.93,39.31,38.59,38.96,950335
2016-02-24,38.62,39.3,38.36,39.28,2297815
2016-02-25,39.38,39.55,39.02,39.39,2025480
2016-02-26,39.62,39.75,39.36,39.58,991567
2016-02-29,39.51,39.79,39.11,39.39,1562255
2016-03-01,39.64,41.08,39.52,41.0,1733348
2016-03-02,40.78,40.98,40.37,40.62,913837
2016-03-03,40.66,41.73,40.4,41.7,1135185
2016-03-04,41.7,42.1,41.49,41.89,1183265
2016-03-07,41.63,41.98,41.47,41.75,1542611
2016-03-08,41.57,41.69,40.88,41.06,897790
2016-03-09,41.16,41.9,41.08,41.52,1219832
2016-03-10,41.87,41.9,41.01,41.44,1367756
2016-03-11,41.86,42.78,41.51,42.62,1231448
2016-03-14,42.39,42.55,42.0,42.27,743298
2016-03-15,41.92,42.24,41.6,42.17,650897
2016-03-16,41.92,42.77,41.91,42.68,685600
2016-03-17,42.64,43.28,42.36,43.18,1371244
2016-03-18,43.35,44.03,43.17,43.32,1139445
2016-03-21,43.25,43.98,43.13,43.68,1013660
2016-03-22,43.23,44.03,42.98,43.95,1150411
2016-03-23,44.01,44.04,43.33,43.63,1065438
2016-03-24,43.49,44.23,43.0,44.23,1153869
2016-03-28,44.29,44.69,43.78,44.39,1014526
2016-03-29,44.27,45.44,44.11,45.41,1174638
2016-03-30,45.57,46.19,45.51,45.85,1047211
2016-03-31,45.8,46.74,45.8,46.58,1108442
2016-04-01,46.29,47.23,46.15,47.2,1635934
2016-04-04,47.2,47.26,45.97,46.0,1215127
2016-04-05,45.7,45.78,45.01,45.12,1938722
2016-04-06,45.03,45.5,44.64,45.41,763055
2016-04-07,45.15,45.26,44.01,44.13,1712833
2016-04-08,44.46,44.87,44.13,44.48,898542
2016-04-11,44.6,44.98,44.18,44.19,938270
2016-04-12,44.3,44.4,43.88,44.27,1228221
2016-04-13,44.64,45.23,44.47,45.23,1021634
2016-04-14,45.5,45.82,45.2,45.74,623313
2016-04-15,45.83,45.83,45.07,45.34,1503569
2016-04-18,45.29,45.62,45.04,45.53,1630977
2016-04-19,45.64,45.71,44.95,45.12,1769208
2016-04-20,45.52,46.09,45.15,45.87,2124547
2016-04-21,45.08,45.26,43.12,43.29,2074200
2016-04-22,43.4,44.17,43.33,43.98,2292893
2016-04-25,43.87,44.15,43.48,43.71,948494
2016-04-26,43.8,44.63,43.64,44.6,1241159
2016-04-27,40.21,40.5,38.33,39.13,5418001
2016-04-28,39.03,39.71,38.71,38.84,2604188
2016-04-29,38.78,38.78,37.96,38.31,2086102
2016-05-02,38.55,38.72,38.1,38.34,2025459
2016-05-03,38.1,39.41,38.0,39.0,2581017
2016-05-04,38.8,39.28,38.59,38.71,3214414
2016-05-05,38.79,39.0,38.57,38.67,1553534
2016-05-06,38.35,38.89,38.3,38.75,1495796
2016-05-09,38.82,39.17,38.76,38.99,1070549
2016-05-10,39.12,39.36,38.93,39.36,917575
2016-05-11,39.38,39.43,38.94,39.04,998251
2016-05-12,39.29,39.34,38.3,38.6,1057560
2016-05-13,38.6,39.13,38.44,38.89,1495168
2016-05-16,38.9,39.65,38.86,39.56,1272462
2016-05-17,39.42,40.05,39.26,39.38,1254543
2016-05-18,39.37,39.82,39.03,39.4,888204
2016-05-19,39.09,39.39,38.73,39.22,974860
2016-05-20,39.39,40.12,39.39,39.69,1143971
2016-05-23,39.56,39.81,38.99,39.02,802648
2016-05-24,39.72,41.06,39.64,40.8,1569095
2016-05-25,40.75,40.82,40.38,40.71,1403316
2016-05-26,40.65,40.78,40.39,40.57,832175
2016-05-27,40.64,41.16,40.64,40.94,834339
2016-05-31,41.0,41.64,40.88,41.59,1260628
2016-06-01,41.36,41.79,41.15,41.69,1178643
2016-06-02,41.59,41.91,41.31,41.91,1157264
2016-06-03,41.7,41.7,40.36,40.45,1749650
2016-06-06,40.62,41.06,40.33,40.89,917291
2016-06-07,40.88,41.3,40.75,41.29,807581
2016-06-08,41.3,41.51,41.04,41.22,488736
2016-06-09,41.12,41.18,40.87,40.99,459746
2016-06-10,40.53,40.61,39.91,39.98,1099410
2016-06-13,39.77,39.97,39.19,39.2,1215843
2016-06-14,39.01,39.03,38.47,38.71,984867
2016-06-15,38.87,39.13,38.43,38.52,1757927
2016-06-16,37.97,38.49,37.69,38.37,1555592
2016-06-17,38.46,38.9,38.31,38.58,1317330
2016-06-20,39.3,39.82,39.25,39.44,1061388
2016-06-21,39.58,39.63,39.06,39.2,692963
2016-06-22,39.14,39.48,39.0,39.05,697724
2016-06-23,39.92,39.92,39.24,39.69,710554
2016-06-24,37.76,38.43,36.59,36.92,2588245
2016-06-27,35.72,36.21,34.34,34.57,2366703
2016-06-28,35.12,35.72,34.93,35.42,1989509
2016-06-29,35.92,36.68,35.6,36.62,1423619
2016-06-30,36.73,38.17,36.6,38.16,1757682
2016-07-01,37.9,38.4,37.66,38.08,1375858
2016-07-05,37.65,37.76,36.7,36.93,887828
2016-07-06,36.9,37.48,36.71,37.34,960259
2016-07-07,37.5,38.17,37.47,37.78,1102509
2016-07-08,38.22,39.21,38.19,38.66,1445102
2016-07-11,38.87,39.3,38.85,39.17,509226
2016-07-12,39.69,40.0,39.63,39.94,890433
2016-07-13,39.09,39.36,38.37,38.94,1268029
2016-07-14,39.37,39.78,39.26,39.47,1274201
2016-07-15,39.67,39.9,39.34,39.36,736008
2016-07-18,39.46,39.82,39.32,39.76,613824
2016-07-19,39.76,39.81,39.37,39.55,766112
2016-07-20,39.69,40.54,39.54,40.29,720613
2016-07-21,40.36,40.96,40.1,40.86,841016
2016-07-22,40.98,41.2,40.63,40.98,516676
2016-07-25,40.9,41.44,40.74,40.95,715871
2016-07-26,41.17,41.5,41.05,41.45,1369515
2016-07-27,35.94,37.14,35.67,36.86,6249223
2016-07-28,36.88,37.5,36.71,37.18,2303365
2016-07-29,37.08,37.08,36.52,36.54,1349624
2016-08-01,36.53,36.67,36.02,36.52,1618060
2016-08-02,37.1,37.1,36.1,36.49,1179611
2016-08-03,36.37,36.94,36.34,36.81,785286
2016-08-04,36.74,36.83,36.5,36.79,959982
2016-08-05,37.04,37.6,36.96,37.33,1990842
2016-08-08,37.5,37.94,37.25,37.29,1289856
2016-08-09,37.29,37.89,37.2,37.42,1090869
2016-08-10,37.42,37.56,36.81,36.97,1220901
2016-08-11,37.08,37.65,37.08,37.5,1079317
2016-08-12,37.39,37.39,36.93,37.21,1526477
2016-08-15,37.38,37.72,37.37,37.41,716626
2016-08-16,37.26,37.76,37.18,37.49,1195055
2016-08-17,37.54,37.66,37.36,37.62,985578
2016-08-18,37.75,38.3,37.73,38.26,1435128
2016-08-19,38.14,38.79,38.13,38.74,1405945
2016-08-22,38.75,38.93,38.29,38.51,1265426
2016-08-23,38.57,38.95,38.2,38.29,1137312
2016-08-24,38.41,38.77,38.22,38.34,1127502
2016-08-25,38.3,38.71,38.3,38.4,988695
2016-08-26,38.45,38.94,38.15,38.34,855854
2016-08-29,38.5,38.71,38.28,38.35,831744
2016-08-30,38.37,38.64,38.34,38.64,796622
2016-08-31,38.64,38.69,37.96,38.33,1106319
2016-09-01,38.33,38.5,37.74,38.22,717970
2016-09-02,38.42,38.68,38.29,38.5,644853
2016-09-06,38.5,38.5,38.01,38.31,619492
2016-09-07,38.31,38.7,38.12,38.41,1055618
2016-09-08,38.23,38.43,38.07,38.07,975045
2016-09-09,37.84,38.01,37.3,37.3,847822
2016-09-12,37.04,38.01,36.96,37.95,744647
2016-09-13,37.55,37.83,37.31,37.46,934190
2016-09-14,37.43,37.58,36.87,37.0,1342763
2016-09-15,36.91,37.52,36.78,37.26,767771
2016-09-16,37.05,37.21,36.8,37.16,1671196
2016-09-19,37.39,37.39,36.77,36.85,753984
2016-09-20,37.03,37.21,36.82,36.94,1061355
2016-09-21,37.16,37.58,36.98,37.53,981843
2016-09-22,37.82,37.99,37.63,37.95,844082
2016-09-23,37.82,38.06,37.62,37.69,677542
