Date,Open,High,Low,Close,Volume
2016-01-04,12.32,12.58,11.92,12.55,11191603
2016-01-05,12.32,12.36,11.77,12.15,10328693
2016-01-06,11.65,11.68,11.1,11.52,18277477
2016-01-07,11.05,11.62,10.92,11.0,14142445
2016-01-08,11.08,11.12,10.61,10.75,11881792
2016-01-11,10.84,10.85,10.16,10.34,14374107
2016-01-12,10.64,10.68,9.78,10.28,16645430
2016-01-13,10.46,10.61,9.51,9.8,15654571
2016-01-14,9.93,10.57,9.71,10.54,14009007
2016-01-15,9.81,10.03,9.47,9.86,13860724
2016-01-19,9.75,9.83,8.95,9.29,12025689
2016-01-20,9.04,9.29,8.57,9.08,16487223
2016-01-21,9.03,10.15,8.98,9.72,15064638
2016-01-22,10.12,10.4,9.48,9.77,15499708
2016-01-25,9.66,9.87,9.25,9.29,10974532
2016-01-26,9.65,9.77,9.39,9.7,8741494
2016-01-27,9.61,10.2,9.48,9.84,9717238
2016-01-28,10.25,10.37,9.67,10.03,17368180
2016-01-29,9.95,10.45,9.9,10.42,10570435
2016-02-01,9.95,9.98,9.61,9.79,10535044
2016-02-02,9.51,9.53,8.83,9.05,14262012
2016-02-03,9.19,9.43,8.5,9.35,11517099
2016-02-04,9.37,10.26,9.36,10.19,14975364
2016-02-05,10.05,10.83,9.89,10.28,16177855
2016-02-08,9.88,9.89,9.25,9.55,10809083
2016-02-09,9.49,9.53,8.38,8.91,13146176
2016-02-10,8.64,9.19,8.64,8.78,8547721
2016-02-11,8.62,8.79,8.23,8.61,11663020
2016-02-12,8.91,9.16,8.56,8.86,12105417
2016-02-16,9.01,9.01,8.48,8.66,11360657
2016-02-17,8.63,9.36,8.62,9.13,12666446
2016-02-18,9.26,9.75,8.42,8.66,16537618
2016-02-19,8.48,8.61,8.08,8.33,15102029
2016-02-22,8.53,8.92,8.51,8.83,10433869
2016-02-23,8.54,8.82,8.45,8.54,12403398
2016-02-24,7.88,8.3,7.66,8.2,21937047
2016-02-25,8.11,8.36,7.85,8.23,17943733
2016-02-26,8.31,9.18,8.25,8.65,20456564
2016-02-29,8.75,8.99,8.6,8.65,12621075
2016-03-01,8.77,9.26,8.45,9.07,16228524
2016-03-02,8.83,9.88,8.81,9.84,17775598
2016-03-03,9.6,11.0,9.57,10.83,23198170
2016-03-04,10.9,13.48,10.69,12.71,53577583
2016-03-07,12.47,13.25,12.31,12.71,27241564
2016-03-08,12.66,12.68,11.4,11.41,25046003
2016-03-09,11.55,11.58,10.84,11.17,14215310
2016-03-10,10.93,11.28,10.46,10.96,17873231
2016-03-11,11.19,11.79,11.02,11.25,17034300
2016-03-14,10.83,11.52,10.76,11.26,14736749
2016-03-15,11.1,11.14,10.51,11.04,13623177
2016-03-16,11.06,11.32,10.81,11.22,13923624
2016-03-17,11.3,11.86,11.18,11.71,16042182
2016-03-18,11.56,11.65,10.68,10.78,35927098
2016-03-21,10.55,10.75,10.27,10.53,16395156
2016-03-22,9.94,10.18,9.91,10.0,20008625
2016-03-23,9.92,10.0,9.14,9.27,15991163
2016-03-24,9.02,9.51,8.97,9.38,12323293
2016-03-28,9.43,9.55,9.0,9.31,9162349
2016-03-29,8.82,8.97,8.5,8.88,21630872
2016-03-30,8.66,9.24,8.54,8.89,53537715
2016-03-31,8.85,9.27,8.82,9.14,18305319
2016-04-01,8.88,8.88,8.4,8.58,24079717
2016-04-04,8.58,9.01,8.46,8.55,16899573
2016-04-05,8.47,8.74,8.34,8.64,14399777
2016-04-06,8.86,9.05,8.58,8.68,20167226
2016-04-07,8.63,8.76,8.34,8.41,18528672
2016-04-08,8.72,8.89,8.62,8.67,16701184
2016-04-11,8.72,9.0,8.71,8.87,12299293
2016-04-12,9.0,9.73,8.85,9.59,23229482
2016-04-13,9.58,10.2,9.5,9.89,24279823
2016-04-14,10.08,10.1,9.13,9.26,21649328
2016-04-15,9.06,9.87,9.01,9.72,25967834
2016-04-18,9.22,9.88,9.1,9.75,19308242
2016-04-19,9.85,10.94,9.83,10.68,30530631
2016-04-20,10.51,10.95,10.37,10.76,18107004
2016-04-21,10.83,11.1,10.38,10.53,17684542
2016-04-22,10.75,11.25,10.43,10.79,20738060
2016-04-25,10.63,10.87,10.15,10.26,15094422
2016-04-26,10.33,10.49,9.95,10.32,14244877
2016-04-27,10.51,11.2,10.47,11.16,21596624
2016-04-28,11.08,11.55,10.87,11.1,20835846
2016-04-29,11.36,11.65,10.57,11.08,22806044
2016-05-02,11.04,11.17,10.63,11.01,11084069
2016-05-03,10.71,10.82,10.33,10.43,11872753
2016-05-04,10.55,10.69,9.95,10.14,13547553
2016-05-05,10.5,10.61,10.0,10.07,21411303
2016-05-06,9.92,10.98,9.89,10.72,19470832
2016-05-09,10.57,10.58,9.88,9.96,17863663
2016-05-10,10.02,10.38,10.0,10.24,11807463
2016-05-11,10.15,10.43,9.96,9.98,14032867
2016-05-12,10.18,10.23,9.52,9.68,19834924
2016-05-13,9.67,9.85,9.18,9.25,16684029
2016-05-16,9.48,9.88,9.44,9.48,12196489
2016-05-17,9.45,9.97,9.4,9.68,14532985
2016-05-18,9.67,9.95,9.5,9.57,13611945
2016-05-19,9.4,9.41,8.98,9.08,15080803
2016-05-20,9.12,9.44,9.08,9.32,11852648
2016-05-23,9.25,9.28,8.87,9.05,14271839
2016-05-24,9.15,9.25,8.84,9.22,12030659
2016-05-25,9.24,10.15,9.24,10.11,16617291
2016-05-26,10.25,10.44,9.88,9.91,12415656
2016-05-27,9.83,10.05,9.67,9.85,11295383
2016-05-31,9.82,10.24,9.72,9.79,13128746
2016-06-01,9.61,9.96,9.26,9.83,12471837
2016-06-02,9.7,9.8,9.42,9.74,14468830
2016-06-03,9.7,9.93,9.6,9.74,10846301
2016-06-06,9.9,11.18,9.86,11.17,21324208
2016-06-07,11.04,11.59,10.8,11.39,20751136
2016-06-08,11.56,11.76,11.4,11.53,15261053
2016-06-09,11.27,11.52,11.13,11.47,10621091
