Date,Open,High,Low,Close,Volume
2016-01-04,69.89,70.87,69.56,70.83,3750993
2016-01-05,70.84,71.98,70.58,71.94,4213156
2016-01-06,70.68,71.38,69.61,70.09,4453644
2016-01-07,69.0,70.82,69.0,69.99,4826764
2016-01-08,70.23,70.49,66.76,66.93,6094339
2016-01-11,67.1,68.08,67.0,67.8,3867963
2016-01-12,68.81,69.71,68.01,68.92,2774528
2016-01-13,69.22,69.24,67.64,67.69,3067431
2016-01-14,67.7,69.24,66.99,68.47,3371646
2016-01-15,66.48,67.98,66.48,67.51,3911129
2016-01-19,68.17,68.67,67.42,68.14,3281326
2016-01-20,67.35,68.1,65.64,67.45,3746837
2016-01-21,67.3,68.18,66.84,67.85,3821997
2016-01-22,68.72,69.78,68.59,68.95,3324963
2016-01-25,69.07,69.32,68.23,68.76,2396190
2016-01-26,68.87,70.16,68.64,69.69,2226798
2016-01-27,69.7,70.4,68.84,69.19,2238767
2016-01-28,69.55,69.61,68.77,69.39,1910488
2016-01-29,69.87,71.54,69.51,71.24,4027428
2016-02-01,70.94,72.49,70.47,72.21,3186435
2016-02-02,72.91,73.38,72.31,72.85,3609902
2016-02-03,73.15,73.29,71.0,71.98,3156963
2016-02-04,70.87,71.52,69.72,70.76,3111083
2016-02-05,71.31,71.53,67.9,67.96,4587676
2016-02-08,67.47,68.3,66.82,68.02,4357252
2016-02-09,67.53,70.22,67.52,69.65,4455211
2016-02-10,70.25,70.97,69.28,69.38,2691067
2016-02-11,68.17,69.4,67.41,67.91,3562275
2016-02-12,68.82,69.94,67.81,69.87,3212437
2016-02-16,71.04,71.82,70.33,71.37,3897057
2016-02-17,71.6,72.37,71.39,71.79,3425673
2016-02-18,71.6,72.0,70.76,71.61,2942795
2016-02-19,70.89,71.7,70.24,71.59,2964069
2016-02-22,72.39,73.33,72.02,73.03,3685943
2016-02-23,73.03,73.57,72.21,72.69,4580878
2016-02-24,73.18,74.65,71.74,74.24,9285523
2016-02-25,73.95,75.14,73.23,75.08,5059445
2016-02-26,75.01,75.83,74.34,75.64,6114181
2016-02-29,75.49,75.74,74.06,74.1,4588756
2016-03-01,74.36,75.5,74.08,75.47,2871770
2016-03-02,75.15,75.75,74.66,75.44,2239624
2016-03-03,75.08,75.24,74.0,75.22,2859730
2016-03-04,75.22,75.74,74.52,75.4,3194217
2016-03-07,75.23,76.19,74.97,75.37,3612994
2016-03-08,75.18,76.04,75.05,75.39,2442189
2016-03-09,75.72,75.76,74.68,74.95,1881515
2016-03-10,75.55,75.76,74.44,75.5,2314255
2016-03-11,75.74,76.12,74.91,75.49,2819626
2016-03-14,75.6,76.12,75.44,75.88,2263344
2016-03-15,75.4,76.61,75.26,76.05,2852451
2016-03-16,75.67,76.5,75.2,76.32,2954962
2016-03-17,76.12,77.49,76.12,77.22,2682724
2016-03-18,77.25,77.93,77.25,77.92,5342435
2016-03-21,77.72,78.46,77.56,77.85,3083355
2016-03-22,77.42,78.14,77.37,77.81,3073171
2016-03-23,77.53,78.02,77.1,77.72,2734519
2016-03-24,77.23,77.71,77.08,77.12,2678452
2016-03-28,77.42,78.22,77.21,77.76,1648018
2016-03-29,77.8,78.67,77.76,78.62,1800597
2016-03-30,78.82,79.0,78.24,78.68,2571855
2016-03-31,78.88,79.2,78.26,78.35,3743472
2016-04-01,78.22,78.99,78.01,78.78,4709051
2016-04-04,79.0,79.2,78.32,78.56,1908351
2016-04-05,78.1,78.49,77.57,77.71,2263526
2016-04-06,77.63,77.73,76.68,77.59,3299765
2016-04-07,77.18,77.27,75.83,76.19,3264827
2016-04-08,76.28,76.62,75.69,76.18,3107920
2016-04-11,76.0,76.53,75.37,75.45,2688707
2016-04-12,75.52,76.15,75.0,76.04,2668285
2016-04-13,76.56,76.77,76.01,76.63,2609757
2016-04-14,76.57,76.66,75.86,76.33,2714350
2016-04-15,76.42,77.39,76.33,77.3,2307576
2016-04-18,77.15,77.87,77.15,77.63,2490626
2016-04-19,78.1,78.2,77.34,77.72,1774599
2016-04-20,77.98,78.4,77.53,77.62,2649261
2016-04-21,77.52,77.99,76.89,77.01,1873694
2016-04-22,77.01,77.19,76.46,76.53,2425394
2016-04-25,76.43,76.8,76.02,76.5,2156416
2016-04-26,76.6,77.19,76.19,77.16,1790788
2016-04-27,77.16,78.05,76.86,77.74,2207763
2016-04-28,77.29,77.82,76.7,76.89,1691236
2016-04-29,76.77,76.77,75.49,75.82,2749651
2016-05-02,76.19,77.87,76.06,77.8,2862418
2016-05-03,77.19,77.45,76.25,77.03,1981760
2016-05-04,76.58,77.25,76.35,77.01,1689906
2016-05-05,76.85,77.14,76.03,76.54,2343461
2016-05-06,76.26,76.67,75.66,76.61,2176910
2016-05-09,76.95,78.21,76.46,77.78,2244275
2016-05-10,78.12,78.26,76.51,76.63,3619168
2016-05-11,74.82,75.13,74.0,74.03,6144082
2016-05-12,74.22,74.83,73.47,74.28,6588108
2016-05-13,73.12,74.8,72.58,72.68,6991666
2016-05-16,73.12,75.21,72.79,75.19,8133684
2016-05-17,78.16,78.38,74.36,75.59,13927742
2016-05-18,75.01,75.31,73.82,74.72,5803023
2016-05-19,74.77,76.12,74.56,75.8,3994348
2016-05-20,75.27,75.82,74.93,75.44,3574614
2016-05-23,75.47,75.9,74.62,74.7,2914249
2016-05-24,75.24,75.55,74.74,75.24,2745840
2016-05-25,75.55,75.77,74.75,75.32,2633185
2016-05-26,76.11,76.65,75.62,75.92,2904184
2016-05-27,76.01,76.68,75.85,76.65,2315867
2016-05-31,76.51,76.69,75.77,76.12,3529652
2016-06-01,75.87,76.75,75.8,76.6,2680802
2016-06-02,76.48,77.13,76.28,77.0,2723577
2016-06-03,76.46,76.88,76.26,76.43,2400852
2016-06-06,76.65,76.71,75.53,76.0,2015396
2016-06-07,75.9,76.86,75.84,76.26,2300807
2016-06-08,76.65,77.2,76.29,76.97,2427431
2016-06-09,76.86,77.4,76.72,77.31,1873812
2016-06-10,76.91,77.1,76.41,76.97,2394004
2016-06-13,76.46,76.95,75.99,76.0,2886297
2016-06-14,75.85,76.23,75.47,76.19,2743696
2016-06-15,76.23,76.8,75.85,75.92,3325890
2016-06-16,75.8,76.16,75.29,75.89,3154533
2016-06-17,75.83,76.01,75.15,75.65,4922060
2016-06-20,76.35,77.18,76.35,76.61,3155866
2016-06-21,76.94,77.51,76.39,77.26,3342335
2016-06-22,77.58,77.96,77.01,77.03,2287417
2016-06-23,77.65,77.87,76.6,76.88,2115260
2016-06-24,74.85,75.85,74.48,74.66,4973703
2016-06-27,74.07,74.23,72.43,73.53,4908258
2016-06-28,74.01,74.76,73.68,74.55,4445553
2016-06-29,75.13,76.45,75.02,76.31,3436046
2016-06-30,76.45,77.25,75.85,77.23,3144662
2016-07-01,77.25,77.61,76.75,76.96,2132436
2016-07-05,76.72,77.2,76.22,76.62,2257624
2016-07-06,76.58,77.66,76.36,77.61,3192274
2016-07-07,77.34,77.65,76.81,77.27,2689479
2016-07-08,77.75,79.0,77.71,78.96,2862230
2016-07-11,78.77,79.16,78.45,78.75,2694512
2016-07-12,78.78,78.82,78.27,78.51,3025080
2016-07-13,78.8,78.8,78.02,78.15,2496456
2016-07-14,78.79,78.83,77.87,78.05,2671258
2016-07-15,78.31,78.48,77.71,77.81,2571745
2016-07-18,78.38,79.47,78.34,79.26,3889138
2016-07-19,79.54,79.87,79.15,79.35,2609473
2016-07-20,79.59,79.88,79.24,79.67,2438506
2016-07-21,79.59,79.79,78.88,79.13,2253364
2016-07-22,79.42,79.97,79.09,79.83,1964460
2016-07-25,80.05,80.93,79.91,80.76,3011036
2016-07-26,80.72,81.25,80.43,81.2,3566776
2016-07-27,81.55,81.69,80.99,81.18,3467773
2016-07-28,81.0,81.36,80.52,81.24,2390962
2016-07-29,81.21,81.88,81.08,81.72,2782979
2016-08-01,81.68,82.07,81.27,81.86,2492048
2016-08-02,81.63,81.7,80.29,80.34,2591728
2016-08-03,79.54,80.71,79.16,80.71,2874908
2016-08-04,80.77,81.42,80.67,81.29,2583902
2016-08-05,81.61,82.07,81.37,81.98,2616564
2016-08-08,82.15,82.28,81.46,81.58,3221459
2016-08-09,81.3,81.55,80.73,80.9,2401113
2016-08-10,81.2,81.69,81.01,81.54,2743470
2016-08-11,83.0,83.54,81.3,82.43,3740846
2016-08-12,82.18,83.01,82.05,82.87,2728497
2016-08-15,83.64,83.64,82.4,82.77,5554240
2016-08-16,80.27,81.09,77.93,77.97,12521868
2016-08-17,77.82,79.09,77.5,78.19,6746874
2016-08-18,78.37,78.58,77.67,77.81,3935070
2016-08-19,77.89,79.44,77.8,79.35,6330703
2016-08-22,79.26,79.35,78.57,79.1,3303924
2016-08-23,79.43,79.45,78.68,78.69,2807806
2016-08-24,78.53,78.99,78.44,78.58,2572333
2016-08-25,78.47,78.98,78.24,78.8,4472295
2016-08-26,78.81,79.5,78.52,78.69,4053313
2016-08-29,78.57,79.14,78.42,78.57,2814907
2016-08-30,78.45,78.57,77.3,77.48,3458604
2016-08-31,77.47,77.8,76.98,77.44,3635301
2016-09-01,77.64,77.84,76.84,77.73,3411835
2016-09-02,77.75,77.82,77.21,77.68,3111942
2016-09-06,77.5,77.51,76.92,77.34,3146875
2016-09-07,77.34,77.78,77.17,77.55,2846227
2016-09-08,77.3,77.51,76.04,76.22,4938276
2016-09-09,75.71,75.72,74.76,74.76,4620944
2016-09-12,74.76,75.73,74.72,75.56,4982785
2016-09-13,74.99,75.29,74.07,74.31,3702403
2016-09-14,74.38,74.6,73.9,74.17,3561994
2016-09-15,74.09,75.22,73.94,75.04,4861972
2016-09-16,74.67,75.09,74.34,74.67,3490287
2016-09-19,75.05,75.26,74.68,74.69,2189545
2016-09-20,75.0,76.3,74.94,75.06,3511979
2016-09-21,75.19,76.14,75.11,76.1,2458825
2016-09-22,76.6,77.13,76.13,76.5,3044245
2016-09-23,76.48,76.7,75.9,76.02,3603565
2016-09-26,75.65,75.65,74.83,75.18,3396082
2016-09-27,75.27,75.52,74.94,75.24,2838830
2016-09-28,75.27,75.47,74.16,74.39,2677098
2016-09-29,74.55,74.66,73.84,73.87,2808940
2016-09-30,74.53,74.97,74.17,74.78,3117938
2016-10-03,74.43,74.82,74.31,74.35,3275985
2016-10-04,74.43,74.94,74.16,74.39,2712790
