Date,Open,High,Low,Close,Volume
2016-01-04,63.74,64.99,63.5,64.92,8360113
2016-01-05,65.18,65.59,64.4,65.52,8300388
2016-01-06,64.38,69.49,64.24,68.62,15323750
2016-01-07,67.74,71.54,67.5,70.2,22002867
2016-01-08,72.54,73.58,70.97,71.17,22250566
2016-01-11,71.5,72.5,68.57,69.61,13728496
2016-01-12,69.45,72.44,69.11,71.09,13715242
2016-01-13,71.56,72.22,70.38,70.65,10930188
2016-01-14,71.24,71.87,70.14,70.55,8272578
2016-01-15,69.01,70.54,68.94,69.65,9855517
2016-01-19,70.19,70.85,69.13,69.79,7189796
2016-01-20,69.0,69.66,67.26,68.9,9478730
2016-01-21,68.92,70.58,68.09,69.48,5192738
2016-01-22,70.48,71.34,70.27,70.89,4657790
2016-01-25,70.93,70.93,69.58,69.75,4980669
2016-01-26,70.0,72.21,70.0,71.99,5045324
2016-01-27,71.99,72.85,70.65,70.95,6872962
2016-01-28,71.71,71.83,68.21,69.58,7055142
2016-01-29,69.58,70.57,69.12,70.44,8162893
2016-02-01,70.76,73.0,70.5,72.35,8274918
2016-02-02,71.69,71.92,70.45,70.52,5869761
2016-02-03,71.19,71.75,69.58,71.46,5277842
2016-02-04,71.64,72.98,71.31,71.84,5794599
2016-02-05,71.77,72.26,68.88,69.16,6684790
2016-02-08,68.16,68.58,65.97,67.3,6370995
2016-02-09,65.68,65.83,62.82,63.21,12764303
2016-02-10,56.27,63.27,55.53,60.07,26386678
2016-02-11,59.56,62.92,59.52,62.32,10277358
2016-02-12,62.93,62.99,60.95,62.26,6061082
2016-02-16,62.87,63.96,62.21,63.33,5472734
2016-02-17,63.83,65.12,63.66,64.69,4541018
2016-02-18,64.95,65.0,63.31,64.62,3700074
2016-02-19,64.35,65.17,63.57,64.67,5580969
2016-02-22,65.03,66.41,65.03,65.72,6220645
2016-02-23,65.65,67.25,64.91,66.1,6104379
2016-02-24,65.47,67.67,64.67,67.48,5822820
2016-02-25,67.07,67.9,65.94,66.66,3390131
2016-02-26,66.81,67.43,66.53,66.66,3330316
2016-02-29,66.36,66.99,65.98,66.2,4575103
2016-03-01,66.53,67.04,66.14,66.8,5529261
2016-03-02,66.81,66.85,65.9,66.76,4164578
2016-03-03,67.09,68.97,66.68,68.82,6628545
2016-03-04,68.69,69.07,68.03,68.81,4169382
2016-03-07,68.26,69.87,68.0,69.57,4981448
2016-03-08,69.08,69.13,67.99,68.08,3643227
2016-03-09,68.47,68.96,67.97,68.65,4606395
2016-03-10,68.8,69.14,67.85,68.79,4402095
2016-03-11,69.57,70.62,69.21,70.42,6475703
2016-03-14,70.21,71.18,69.71,70.75,4452108
2016-03-15,70.53,71.04,70.1,70.96,3132886
2016-03-16,70.85,72.3,70.55,71.5,7504916
2016-03-17,71.55,72.45,71.41,72.31,6164464
2016-03-18,72.69,73.64,71.89,72.36,9707443
2016-03-21,72.18,72.71,71.05,72.14,4416234
2016-03-22,72.08,73.5,72.05,72.82,6396357
2016-03-23,72.5,72.5,70.46,70.69,6445644
2016-03-24,70.09,70.46,69.6,70.01,5000686
2016-03-28,70.65,72.82,70.43,72.54,5357515
2016-03-29,72.18,72.65,71.59,72.21,4391922
2016-03-30,72.63,72.99,71.48,72.16,3996402
2016-03-31,72.14,73.16,72.02,72.55,4187085
2016-04-01,72.04,73.23,71.64,72.99,3435360
2016-04-04,73.46,74.0,72.58,73.56,6324919
2016-04-05,72.98,73.26,72.52,72.72,4594299
2016-04-06,72.77,74.12,72.72,73.97,4151423
2016-04-07,73.93,74.37,72.69,72.91,4121313
2016-04-08,73.43,73.78,73.02,73.61,2665617
2016-04-11,73.62,73.9,73.22,73.27,5908917
2016-04-12,73.43,74.03,73.05,73.77,3235226
2016-04-13,74.3,75.48,74.22,75.0,5003489
2016-04-14,75.2,76.04,74.79,75.05,5260257
2016-04-15,74.8,75.02,74.31,74.5,4192034
2016-04-18,74.44,75.34,74.2,75.22,2763872
2016-04-19,75.74,76.76,74.73,74.84,4901235
2016-04-20,75.16,75.45,74.45,74.78,3424494
2016-04-21,74.79,76.58,74.69,75.44,4059821
2016-04-22,75.68,76.89,75.49,76.65,4232424
2016-04-25,76.33,76.77,75.86,76.35,3479962
2016-04-26,76.4,77.08,76.09,77.02,4635554
2016-04-27,76.66,77.2,76.02,76.91,4067573
2016-04-28,76.56,77.4,76.14,76.75,4198483
2016-04-29,76.64,76.64,74.59,75.14,4691582
2016-05-02,74.86,75.6,73.33,75.32,4755057
2016-05-03,74.83,74.83,73.44,73.64,6734415
2016-05-04,77.0,77.28,73.97,74.8,8995667
2016-05-05,75.05,76.36,75.0,75.63,5617821
2016-05-06,75.45,75.68,74.1,74.89,3828429
2016-05-09,74.9,75.06,73.87,74.16,3108113
2016-05-10,74.43,75.05,74.11,74.8,3238580
2016-05-11,74.17,74.43,73.32,74.14,3832491
2016-05-12,74.68,75.0,72.98,73.39,3061033
2016-05-13,73.5,74.11,73.14,73.23,3530905
2016-05-16,73.17,73.47,72.52,73.12,3270692
2016-05-17,73.21,73.92,72.41,72.82,2863984
2016-05-18,72.63,72.73,71.09,71.47,3659221
2016-05-19,71.48,71.87,70.44,71.59,4536350
2016-05-20,71.84,73.24,71.78,72.8,3948237
2016-05-23,72.78,73.13,71.99,72.07,3194670
2016-05-24,72.45,73.24,72.32,73.13,3083348
2016-05-25,73.18,74.05,73.06,73.36,2329451
2016-05-26,74.34,75.12,73.57,74.07,4006685
2016-05-27,74.57,75.72,74.5,75.28,4551459
2016-05-31,75.3,75.75,75.07,75.66,5036264
2016-06-01,75.18,76.46,74.7,76.41,4829575
2016-06-02,76.12,76.75,75.95,76.75,2979331
2016-06-03,76.24,76.25,74.61,75.84,3625200
2016-06-06,76.01,76.39,75.63,76.01,2235897
2016-06-07,75.83,75.92,75.13,75.19,2996089
2016-06-08,75.33,75.76,75.0,75.46,3216445
2016-06-09,75.18,75.18,74.56,75.01,2509554
2016-06-10,74.21,74.47,73.14,73.63,3361719
2016-06-13,73.52,74.34,73.04,73.13,2653287
2016-06-14,73.08,73.51,72.28,72.76,3072332
2016-06-15,72.8,73.65,72.79,72.88,2184246
2016-06-16,72.68,73.59,71.74,73.42,3388284
2016-06-17,73.29,73.58,72.34,72.37,3655751
2016-06-20,73.02,73.17,72.54,72.64,3422650
2016-06-21,72.65,72.78,71.6,71.81,3561747
2016-06-22,72.09,73.04,71.87,72.44,3150517
2016-06-23,73.11,73.19,72.3,73.05,2779141
2016-06-24,70.92,71.55,69.76,70.72,8300115
2016-06-27,69.61,70.11,68.97,69.21,6195174
2016-06-28,69.64,70.43,69.42,70.15,2951416
2016-06-29,70.6,72.17,70.51,71.69,4376816
2016-06-30,72.24,73.54,71.7,73.54,4687345
2016-07-01,74.05,74.72,73.67,74.31,4465563
2016-07-05,74.0,74.05,73.32,73.85,3348807
2016-07-06,73.46,74.57,72.88,74.54,3602793
2016-07-07,74.54,76.35,74.49,76.11,5803353
2016-07-08,76.85,78.1,76.5,77.96,5302992
2016-07-11,77.84,78.77,77.78,78.38,5077717
2016-07-12,78.45,78.7,77.83,78.26,3777144
2016-07-13,78.2,78.47,77.4,78.05,2881022
2016-07-14,78.72,78.91,78.16,78.59,3267748
2016-07-15,78.68,79.24,78.04,78.64,2993146
2016-07-18,78.43,78.48,77.87,77.91,3453465
2016-07-19,77.98,78.39,77.39,78.08,2835164
2016-07-20,78.4,78.4,77.72,77.86,2295263
2016-07-21,77.74,78.18,77.29,77.74,2313956
2016-07-22,78.14,78.48,77.73,78.36,2786028
2016-07-25,78.21,78.77,78.17,78.5,2726759
2016-07-26,78.13,78.54,77.46,78.27,3137871
2016-07-27,78.41,78.49,77.47,77.93,2611863
2016-07-28,77.89,78.12,77.29,77.62,2621391
2016-07-29,77.44,77.82,76.59,76.65,4273969
2016-08-01,76.57,77.17,76.17,76.74,4545593
2016-08-02,76.79,77.19,75.6,75.78,4836490
2016-08-03,76.97,78.98,76.83,77.83,9711295
2016-08-04,77.48,78.1,77.34,77.88,3848741
2016-08-05,78.31,79.3,77.98,79.11,3654987
2016-08-08,79.25,79.38,78.6,78.74,3480983
2016-08-09,78.81,79.98,78.44,79.16,3502675
2016-08-10,79.28,80.46,78.91,79.86,4184774
2016-08-11,80.0,80.58,79.6,80.42,3692514
2016-08-12,79.99,80.74,79.66,80.55,3571676
2016-08-15,80.67,81.03,80.6,80.86,2492993
2016-08-16,80.77,81.33,80.44,81.05,2806674
2016-08-17,80.88,81.22,80.69,81.05,4940533
2016-08-18,81.11,81.24,80.6,80.83,4627755
2016-08-19,80.57,80.98,80.47,80.8,2604228
2016-08-22,80.8,80.8,80.25,80.51,1923551
2016-08-23,80.85,81.0,80.6,80.7,2364738
2016-08-24,80.6,80.86,80.05,80.17,2682140
2016-08-25,80.0,80.35,79.58,79.81,2102413
2016-08-26,80.04,80.28,78.82,79.24,3219513
2016-08-29,78.96,79.56,78.88,79.14,2482994
2016-08-30,79.11,79.18,78.52,78.91,2296182
2016-08-31,78.67,78.74,78.15,78.41,3941776
2016-09-01,78.71,78.85,77.7,78.16,2591316
2016-09-02,78.67,78.84,78.22,78.53,2546160
2016-09-06,78.61,78.74,77.75,78.39,2543744
2016-09-07,78.4,78.78,77.96,78.72,2338627
2016-09-08,78.5,79.15,78.23,78.92,3440855
2016-09-09,78.26,78.51,77.0,77.01,4242024
2016-09-12,76.84,78.58,76.67,78.37,4060545
2016-09-13,77.88,77.93,76.25,76.43,3539603
2016-09-14,76.31,77.09,76.0,76.22,3995366
2016-09-15,76.13,76.17,74.73,75.62,5952556
2016-09-16,75.22,75.25,74.27,74.85,6996957
2016-09-19,75.36,76.1,74.94,75.71,4303314
2016-09-20,75.99,76.27,75.35,75.4,4516517
2016-09-21,75.61,76.81,74.68,76.66,4840753
2016-09-22,76.97,77.84,76.84,77.31,2827517
2016-09-23,76.98,77.42,76.7,76.73,2178969
2016-09-26,76.41,76.48,75.68,76.1,3777907
2016-09-27,76.18,77.93,75.73,77.88,3597915
2016-09-28,77.88,78.59,77.88,78.56,3370399
2016-09-29,78.34,79.55,78.08,78.61,3919669
2016-09-30,78.96,79.9,78.96,79.61,4450667
2016-10-03,79.21,79.75,78.87,79.32,2907202
2016-10-04,79.42,79.61,78.84,79.18,3284746
2016-10-05,79.52,80.09,79.36,79.59,3569976
2016-10-06,79.37,80.1,79.06,79.66,4401950
2016-10-07,79.84,79.84,78.74,78.98,2915453
2016-10-10,79.33,79.89,79.2,79.36,1716063
2016-10-11,79.18,79.32,78.32,78.57,3437423
2016-10-12,78.63,80.44,78.54,79.91,5194994
2016-10-13,79.9,79.9,78.32,79.4,4045243
2016-10-14,79.74,80.08,79.21,79.55,2449102
2016-10-17,79.03,79.72,78.8,78.84,3519183
2016-10-18,79.3,79.93,79.2,79.51,2581424
2016-10-19,79.56,79.88,79.23,79.24,2452479
2016-10-20,79.23,86.75,78.8,82.99,13353275
2016-10-21,83.31,94.44,83.31,89.48,52215800
2016-10-24,87.55,88.0,86.07,86.74,46981252
2016-10-25,87.12,87.47,86.83,87.16,16741977
2016-10-26,87.02,89.31,87.0,88.7,18656415
