Date,Open,High,Low,Close,Volume
2016-01-04,32.36,32.75,32.24,32.75,1292539
2016-01-05,32.52,32.83,32.38,32.58,1020505
2016-01-06,32.0,32.1,31.48,31.69,1234949
2016-01-07,30.92,31.35,30.68,30.81,1412530
2016-01-08,31.1,31.23,30.35,30.42,1991268
2016-01-11,30.59,30.91,29.92,30.24,2388306
2016-01-12,30.6,30.66,29.68,30.19,2064571
2016-01-13,30.51,30.61,29.15,29.27,1750061
2016-01-14,29.44,29.66,28.74,29.48,2182516
2016-01-15,28.62,28.85,27.88,28.42,2528744
2016-01-19,28.78,28.94,27.91,28.17,2606463
2016-01-20,27.54,27.68,26.42,27.4,2895153
2016-01-21,27.42,28.22,27.3,27.73,2633074
2016-01-22,28.17,28.62,27.92,28.02,2497916
2016-01-25,27.87,28.09,27.35,27.37,2499616
2016-01-26,27.57,28.23,27.57,27.81,1531000
2016-01-27,27.62,28.47,27.54,27.75,2068166
2016-01-28,28.01,28.41,27.74,28.31,2081134
2016-01-29,28.39,28.65,27.86,28.64,3213026
2016-02-01,28.4,28.83,28.14,28.49,2292166
2016-02-02,27.95,27.95,27.35,27.44,2623001
2016-02-03,28.08,28.42,26.27,26.86,3910828
2016-02-04,26.69,27.67,26.69,27.63,3678771
2016-02-05,27.54,28.12,27.52,27.68,2423863
2016-02-08,27.31,27.31,26.05,26.24,2730841
2016-02-09,25.32,26.3,25.32,26.17,2325330
2016-02-10,26.37,26.67,25.81,25.83,2525313
2016-02-11,24.96,24.97,23.99,24.07,5099534
2016-02-12,24.61,25.32,24.55,25.14,4802686
2016-02-16,26.17,26.62,25.53,26.58,2821465
2016-02-17,26.99,27.73,26.99,27.51,3200848
2016-02-18,27.64,27.64,27.18,27.38,2511062
2016-02-19,27.16,27.56,26.68,27.52,2098208
2016-02-22,27.53,28.06,27.53,28.03,1598571
2016-02-23,27.87,28.0,27.61,27.85,1797898
2016-02-24,27.37,27.86,26.94,27.77,1331345
2016-02-25,27.8,28.35,27.76,28.33,1326179
2016-02-26,29.28,29.28,28.58,28.92,1500397
2016-02-29,28.84,29.09,28.5,28.53,1595825
2016-03-01,28.77,30.16,28.72,30.14,1819165
2016-03-02,30.17,30.56,30.12,30.45,1682640
2016-03-03,30.33,30.93,30.28,30.92,1669223
2016-03-04,31.04,31.37,30.78,31.1,1944917
2016-03-07,30.88,31.46,30.82,31.46,1401311
2016-03-08,31.02,31.21,30.2,30.46,1852484
2016-03-09,30.7,30.79,30.23,30.58,1469836
2016-03-10,30.78,31.05,30.11,30.58,1737091
2016-03-11,30.97,31.77,30.91,31.68,1355422
2016-03-14,31.35,32.52,31.35,31.95,3608942
2016-03-15,31.67,31.68,31.15,31.53,1217589
2016-03-16,31.48,32.13,31.28,31.92,2207816
2016-03-17,31.83,32.35,31.49,32.14,1965755
2016-03-18,32.19,32.56,31.72,32.38,2860233
2016-03-21,32.43,32.66,32.07,32.32,1760601
2016-03-22,31.96,32.31,31.81,32.08,2825369
2016-03-23,31.95,32.15,31.54,31.59,2132658
2016-03-24,31.1,31.15,30.34,30.8,2475496
2016-03-28,31.0,31.39,30.8,31.23,1677971
2016-03-29,31.01,31.09,30.59,31.03,1934535
2016-03-30,31.25,32.03,31.07,31.29,2023244
2016-03-31,31.27,31.48,30.88,30.92,2573452
2016-04-01,30.78,31.43,30.31,31.36,1952984
2016-04-04,31.31,31.51,31.02,31.12,1665740
2016-04-05,30.8,31.12,30.52,30.67,2692965
2016-04-06,30.69,31.24,30.59,30.9,1373565
2016-04-07,30.27,30.76,29.86,30.19,2899553
2016-04-08,30.59,30.95,30.43,30.6,1493834
2016-04-11,30.9,31.43,30.76,30.97,1738231
2016-04-12,31.11,31.67,30.94,31.62,1360088
2016-04-13,31.97,32.46,31.97,32.38,1391755
2016-04-14,32.36,32.78,32.2,32.43,899350
2016-04-15,32.36,32.48,32.06,32.31,1212592
2016-04-18,32.06,32.7,32.06,32.7,1105724
2016-04-19,32.83,33.22,32.72,33.12,1163201
2016-04-20,33.15,33.82,33.08,33.73,1319706
2016-04-21,33.77,34.0,33.56,33.6,1027374
2016-04-22,33.67,34.18,33.64,33.92,1210751
2016-04-25,33.72,33.74,33.28,33.61,823002
2016-04-26,33.75,34.18,33.69,34.02,1705883
2016-04-27,33.76,34.42,33.75,34.15,2351776
2016-04-28,33.99,35.1,33.89,34.35,1811178
2016-04-29,34.21,34.42,33.99,34.21,2612796
2016-05-02,34.33,34.33,33.86,34.23,2123508
2016-05-03,33.65,33.82,33.16,33.62,1533779
2016-05-04,33.29,33.56,33.05,33.33,1139584
2016-05-05,33.36,33.61,33.18,33.46,1431960
2016-05-06,33.2,33.69,32.94,33.66,1657457
