Date,Open,High,Low,Close,Volume
2016-01-04,70.38,71.67,68.7,69.94,6605343
2016-01-05,70.14,71.36,69.77,71.16,5152474
2016-01-06,69.88,71.98,69.8,70.66,7666201
2016-01-07,69.6,72.22,69.57,72.09,9149211
2016-01-08,72.2,72.49,68.1,68.26,10241902
2016-01-11,68.26,69.43,66.85,69.07,6680254
2016-01-12,69.87,72.06,69.31,71.19,8173789
2016-01-13,70.33,70.65,63.05,65.03,13245357
2016-01-14,65.3,67.94,63.52,67.32,8568074
2016-01-15,64.87,67.0,64.47,66.41,8611653
2016-01-19,67.08,68.51,65.32,66.54,7053751
2016-01-20,64.96,66.46,63.81,65.48,7957623
2016-01-21,65.12,65.16,63.07,63.43,8955280
2016-01-22,65.09,68.49,64.72,67.86,9272764
2016-01-25,67.55,69.35,65.06,65.14,5947965
2016-01-26,66.49,67.74,65.51,67.71,5983756
2016-01-27,68.33,68.49,65.25,65.99,7511737
2016-01-28,67.33,67.57,62.16,64.54,10700411
2016-01-29,65.03,67.92,63.25,67.87,7248654
2016-02-01,68.2,69.13,66.46,68.7,5460857
2016-02-02,67.36,67.5,64.93,65.28,6856423
2016-02-03,65.44,65.78,59.4,60.94,12697167
2016-02-04,61.23,62.83,60.2,61.79,10076142
2016-02-05,61.0,61.77,56.93,57.12,9109544
2016-02-08,56.41,56.41,52.55,54.82,11298390
2016-02-09,54.37,56.28,53.89,54.82,6402897
2016-02-10,54.53,55.77,53.0,54.88,6784551
2016-02-11,53.83,56.02,53.39,55.57,8157913
2016-02-12,56.95,58.04,56.24,57.75,6679978
2016-02-16,58.95,59.0,56.3,57.35,6971957
2016-02-17,57.85,58.63,56.98,57.77,5934573
2016-02-18,58.37,58.45,55.02,55.56,6811747
2016-02-19,55.03,57.08,54.95,57.05,5523711
2016-02-22,57.26,58.97,57.01,58.68,5021347
2016-02-23,59.4,59.4,57.35,57.49,5696183
2016-02-24,56.91,60.71,56.5,60.61,8397613
2016-02-25,60.88,61.22,59.17,60.69,5302182
