Date,Open,High,Low,Close,Volume
2016-01-04,56.0,56.8,55.51,56.74,2816812
2016-01-05,56.8,58.03,56.66,57.74,2014307
2016-01-06,57.67,57.78,56.72,57.21,2960255
2016-01-07,56.63,57.08,56.01,56.21,2580462
2016-01-08,56.38,56.84,56.01,56.26,3097679
2016-01-11,56.48,56.97,56.42,56.58,3296076
2016-01-12,56.79,56.79,55.42,55.89,2178474
2016-01-13,56.07,56.67,54.45,54.54,2888369
2016-01-14,54.37,55.07,54.07,54.64,2793213
2016-01-15,53.83,54.79,53.6,54.69,2521955
2016-01-19,55.11,55.98,54.99,55.63,2543612
2016-01-20,55.21,55.39,51.51,52.92,5097352
2016-01-21,53.23,54.62,52.6,54.0,2731611
2016-01-22,54.78,56.35,54.43,55.5,3808712
2016-01-25,55.5,55.88,54.82,54.98,2738074
2016-01-26,55.03,56.12,55.03,55.94,2385163
2016-01-27,55.66,55.95,53.59,53.79,2822004
2016-01-28,54.09,54.73,53.55,53.79,2441022
2016-01-29,54.45,55.98,54.07,55.32,4174456
2016-02-01,54.86,55.95,54.42,55.48,2198132
2016-02-02,55.32,55.48,54.33,54.76,2915824
2016-02-03,55.11,56.43,54.7,56.0,2715336
2016-02-04,55.79,56.59,55.17,56.37,1639019
2016-02-05,56.36,56.69,55.68,56.32,2702279
2016-02-08,56.32,56.59,52.75,53.71,4862859
2016-02-09,52.95,53.08,49.54,50.08,5724588
2016-02-10,50.24,51.08,49.95,50.0,4104605
2016-02-11,49.31,49.57,47.85,48.72,6487083
2016-02-12,48.75,49.91,46.87,48.43,5126681
2016-02-16,48.76,49.86,47.94,49.72,3799578
2016-02-17,49.82,50.94,49.73,50.48,2443433
2016-02-18,50.52,51.96,50.29,51.6,2124090
2016-02-19,51.43,52.68,50.92,52.19,2764695
2016-02-22,52.72,53.26,52.5,52.99,1589871
2016-02-23,52.99,54.12,52.71,53.41,2173836
2016-02-24,53.32,53.98,52.97,53.85,1662230
2016-02-25,54.05,55.1,53.89,55.08,2101858
2016-02-26,55.08,55.99,54.99,55.39,2114205
2016-02-29,55.47,56.58,55.39,55.67,2818404
2016-03-01,56.47,57.58,55.98,57.57,2101088
2016-03-02,57.36,58.47,57.26,58.41,2147181
2016-03-03,58.18,58.19,56.27,56.71,5488690
2016-03-04,56.87,57.07,55.91,56.75,3458775
2016-03-07,56.65,57.49,56.26,57.23,2179665
2016-03-08,57.54,57.68,56.23,56.45,2147633
2016-03-09,56.67,57.57,56.5,56.78,5947804
2016-03-10,57.3,58.18,56.17,57.28,4587703
2016-03-11,57.89,59.82,57.81,59.78,8332643
2016-03-14,59.68,60.63,59.57,60.53,3304801
2016-03-15,60.07,60.94,59.75,60.74,2647258
2016-03-16,60.56,61.2,59.71,61.08,2150242
2016-03-17,61.33,62.13,60.71,62.01,2383248
2016-03-18,62.18,62.19,61.45,61.85,4171394
2016-03-21,61.6,62.24,61.33,61.45,3251908
2016-03-22,61.07,61.64,60.67,61.55,2738140
2016-03-23,61.55,61.62,60.99,61.19,2198072
2016-03-24,60.27,61.07,59.58,60.96,2210163
2016-03-28,61.46,61.98,61.02,61.83,2131865
2016-03-29,61.69,63.24,61.39,63.22,2435615
2016-03-30,63.41,63.41,62.78,62.96,2046353
2016-03-31,62.81,63.63,62.48,62.96,3144931
2016-04-01,62.73,63.37,62.39,63.23,2293476
2016-04-04,63.44,63.84,63.18,63.58,1735312
2016-04-05,63.45,63.69,63.05,63.54,1453054
2016-04-06,63.34,63.5,62.03,62.08,3489171
2016-04-07,62.0,62.61,61.65,62.38,2301761
2016-04-08,62.67,62.95,62.37,62.44,1901059
2016-04-11,62.7,63.11,62.58,62.87,1422470
2016-04-12,63.15,63.5,62.81,63.26,1138646
2016-04-13,63.57,63.64,62.84,63.43,1152086
2016-04-14,63.36,63.42,62.94,63.21,1186428
2016-04-15,63.35,63.39,62.82,63.16,2777209
2016-04-18,62.9,63.73,62.85,63.73,1681683
2016-04-19,63.77,64.36,63.51,63.93,1424084
2016-04-20,63.93,63.97,62.3,62.37,1866860
2016-04-21,62.29,62.3,59.43,59.69,3793828
2016-04-22,60.01,60.73,59.78,60.49,2806021
2016-04-25,60.4,61.37,60.28,61.37,1572950
2016-04-26,61.61,62.47,61.58,62.19,1433768
2016-04-27,62.17,62.7,61.42,62.51,2224062
2016-04-28,62.03,62.78,61.96,62.26,1887364
2016-04-29,60.44,62.22,60.26,62.12,2996380
2016-05-02,62.46,63.25,62.32,62.62,1526770
2016-05-03,62.32,63.48,62.2,63.44,1826541
2016-05-04,63.16,65.98,63.15,65.45,3880534
2016-05-05,65.28,65.86,65.05,65.86,2597959
2016-05-06,65.7,66.2,65.01,66.1,2325968
2016-05-09,66.29,67.0,66.14,66.66,2601460
2016-05-10,66.88,66.96,65.98,66.9,2116218
2016-05-11,66.63,66.63,65.11,65.61,1947206
2016-05-12,65.73,66.98,65.26,66.72,1361573
2016-05-13,66.43,66.88,65.91,66.76,1913187
2016-05-16,66.63,67.52,66.56,67.23,1777773
2016-05-17,67.07,67.1,65.93,66.37,1620733
2016-05-18,66.09,66.24,64.44,65.38,2308754
2016-05-19,64.71,64.99,64.28,64.91,1981683
2016-05-20,65.3,65.6,64.96,65.29,2111409
2016-05-23,65.5,65.73,65.17,65.5,1641281
2016-05-24,65.85,66.53,65.78,66.01,2757909
2016-05-25,66.06,66.25,65.06,66.01,1278197
2016-05-26,65.9,66.31,65.69,65.99,1136606
2016-05-27,65.99,66.82,65.88,66.31,1233999
2016-05-31,66.31,66.6,65.83,66.33,1930093
2016-06-01,66.22,66.85,66.06,66.58,1646937
2016-06-02,65.58,66.0,65.13,65.99,1454364
2016-06-03,66.65,67.5,66.42,67.28,2839665
2016-06-06,67.3,67.42,66.41,66.77,1549264
2016-06-07,66.85,67.9,66.7,67.63,1553763
2016-06-08,67.52,67.99,67.18,67.82,1716259
2016-06-09,67.8,68.45,67.58,68.42,1573481
2016-06-10,68.12,68.89,68.01,68.58,1592409
2016-06-13,68.7,69.46,68.7,69.34,2666661
2016-06-14,69.2,69.44,68.38,68.61,2313163
2016-06-15,68.65,69.77,68.63,69.31,1814138
2016-06-16,69.13,69.9,68.92,69.88,1425203
2016-06-17,69.73,69.82,69.18,69.81,2240588
2016-06-20,70.0,70.31,69.05,69.12,1822279
2016-06-21,69.21,70.02,69.04,69.88,2115622
2016-06-22,69.3,69.67,68.61,68.97,2342453
2016-06-23,69.33,69.67,68.8,68.9,1666048
2016-06-24,67.91,70.45,67.44,69.77,5040746
2016-06-27,69.8,71.04,69.24,71.01,2565377
2016-06-28,71.26,72.12,70.75,72.08,2568582
2016-06-29,72.23,72.7,71.87,72.05,3524621
2016-06-30,72.04,72.88,71.47,72.82,2435065
2016-07-01,73.0,73.54,72.69,73.2,2144385
2016-07-05,73.23,73.83,72.96,73.81,1830656
2016-07-06,72.63,73.35,72.57,73.14,6947801
2016-07-07,73.23,73.29,72.04,72.15,2451969
2016-07-08,72.58,72.97,72.0,72.63,2635202
2016-07-11,72.71,73.27,71.76,73.2,2350859
2016-07-12,73.25,73.35,71.63,71.86,2793415
2016-07-13,72.04,72.33,71.56,72.17,2470470
2016-07-14,72.19,72.19,70.8,70.92,2577640
2016-07-15,71.07,72.08,70.82,72.0,1936511
2016-07-18,72.3,72.65,72.1,72.59,1264159
2016-07-19,72.83,73.05,72.35,73.05,1331276
2016-07-20,73.19,73.19,72.72,73.08,1105985
2016-07-21,72.84,73.33,72.55,73.31,1238729
2016-07-22,73.16,74.27,73.16,73.88,1296613
2016-07-25,73.88,74.19,73.64,73.98,1340899
2016-07-26,74.02,74.34,73.36,73.71,1314527
2016-07-27,73.63,73.78,72.82,73.54,1682213
2016-07-28,73.43,74.81,73.38,74.52,1718513
2016-07-29,75.09,76.8,74.8,76.16,3188764
2016-08-01,75.85,76.57,75.82,76.56,1722390
2016-08-02,76.07,76.32,74.31,74.45,2690089
2016-08-03,74.35,74.38,73.35,73.71,1981932
2016-08-04,73.8,73.88,73.42,73.78,1099513
2016-08-05,73.89,73.89,72.64,72.73,2245739
2016-08-08,72.7,73.01,71.96,72.64,2130139
2016-08-09,72.7,73.88,72.01,73.73,1850968
2016-08-10,73.91,74.89,73.73,74.49,1652320
2016-08-11,74.36,74.45,73.3,73.95,1561906
2016-08-12,74.1,75.16,74.0,74.43,1381150
2016-08-15,74.49,74.67,73.89,73.97,1202088
2016-08-16,73.65,73.9,72.77,73.0,1227591
2016-08-17,73.2,74.19,72.61,74.13,1580733
2016-08-18,73.97,74.36,73.62,74.18,1108825
2016-08-19,73.86,74.2,73.05,73.42,2137093
2016-08-22,73.53,73.95,73.22,73.43,1757731
2016-08-23,73.86,74.43,73.45,73.98,1887711
2016-08-24,73.98,74.08,72.7,73.18,1301181
2016-08-25,73.28,73.94,73.06,73.53,1174146
2016-08-26,73.89,74.13,71.45,72.14,1795832
2016-08-29,72.46,73.78,72.19,73.58,1487120
2016-08-30,73.52,73.64,72.73,73.26,1505156
2016-08-31,73.19,73.19,72.17,72.67,2949713
2016-09-01,72.81,72.86,72.03,72.33,1914300
2016-09-02,72.64,74.48,72.62,73.41,1764063
2016-09-06,73.24,74.22,72.95,74.08,2715142
2016-09-07,74.07,74.32,73.82,74.18,1612751
2016-09-08,73.76,73.86,72.92,72.98,3594203
2016-09-09,72.52,72.52,68.63,68.86,3924270
2016-09-12,68.84,70.41,68.45,69.84,2645248
2016-09-13,68.63,69.04,66.69,67.33,3828285
2016-09-14,67.79,68.17,67.35,67.62,2960826
2016-09-15,67.45,68.17,67.14,67.96,2762936
2016-09-16,67.64,68.12,67.06,68.04,6189641
2016-09-19,68.18,68.7,68.11,68.63,1718353
2016-09-20,69.03,69.53,68.97,69.24,2312886
2016-09-21,69.31,70.29,68.29,70.07,2337048
2016-09-22,70.6,71.59,70.6,71.44,1863098
2016-09-23,71.41,72.53,70.74,72.22,2726567
2016-09-26,71.97,73.2,71.8,72.86,2264755
2016-09-27,73.1,73.23,71.86,71.96,2736018
2016-09-28,72.25,73.03,71.87,72.93,1943255
2016-09-29,72.41,72.61,71.29,71.91,1962820
2016-09-30,72.41,72.98,70.59,70.63,2539974
2016-10-03,70.17,70.4,68.89,69.19,2157851
2016-10-04,69.16,69.16,67.55,68.14,2449154
2016-10-05,68.43,68.77,66.85,67.43,3169929
2016-10-06,67.43,68.05,66.36,66.99,2117926
2016-10-07,67.45,68.36,66.82,66.95,1910441
2016-10-10,66.97,67.57,66.64,66.76,1349096
2016-10-11,66.65,67.15,66.12,66.31,1590055
2016-10-12,66.4,66.81,66.31,66.5,2589453
2016-10-13,66.13,67.42,66.01,66.72,3147604
2016-10-14,66.45,67.32,65.8,66.71,1652006
2016-10-17,66.98,67.48,66.71,66.88,1331478
2016-10-18,67.4,67.99,67.18,67.66,1369849
2016-10-19,67.68,68.1,67.39,67.95,1200689
2016-10-20,68.98,68.98,68.28,68.69,1161550
2016-10-21,68.3,68.59,68.0,68.36,920506
2016-10-24,68.7,69.38,68.06,68.86,1029231
2016-10-25,68.84,68.99,68.3,68.8,1145196
2016-10-26,68.36,68.52,67.37,68.02,1313226
2016-10-27,67.78,68.01,65.95,66.4,1699762
2016-10-28,66.92,67.58,66.46,66.8,1215554
2016-10-31,67.05,67.97,66.66,67.75,1800686
