Date,Open,High,Low,Close,Volume
2016-01-04,53.09,53.27,52.3,52.91,25878632
2016-01-05,52.93,53.27,52.54,52.89,14759616
2016-01-06,52.12,52.62,51.83,51.88,20026405
2016-01-07,51.01,51.19,50.15,50.4,30425557
2016-01-08,50.8,50.86,49.46,49.56,22981395
2016-01-11,50.18,50.32,49.64,50.09,19046405
2016-01-12,50.88,51.52,50.45,51.36,28961499
2016-01-13,51.73,51.8,49.5,49.73,21788973
2016-01-14,50.08,51.0,49.6,50.64,24290478
2016-01-15,48.59,49.64,48.13,48.82,40527589
2016-01-19,49.25,49.54,47.99,48.21,29504516
2016-01-20,47.28,48.24,46.88,47.87,40064710
2016-01-21,48.03,49.05,47.91,48.01,24268732
2016-01-22,49.03,49.27,48.56,49.02,18286557
2016-01-25,48.91,48.98,47.62,47.66,23328235
2016-01-26,47.75,48.56,47.66,48.26,18857507
2016-01-27,48.3,49.3,48.13,48.57,20412169
2016-01-28,49.1,49.4,48.6,48.92,21290874
2016-01-29,49.29,50.25,49.17,50.23,24959055
2016-02-01,50.12,50.18,49.56,49.94,17274545
2016-02-02,49.26,49.32,48.78,48.83,25520891
2016-02-03,48.45,48.51,46.51,47.6,47122236
2016-02-04,47.4,48.61,47.37,48.25,30718188
2016-02-05,48.35,48.66,47.6,47.86,23617294
2016-02-08,47.11,47.34,46.06,46.5,30819996
2016-02-09,45.61,46.76,45.36,46.45,29587740
2016-02-10,46.88,47.22,46.11,46.17,19865734
2016-02-11,44.93,45.53,44.5,45.16,32367557
2016-02-12,45.96,47.38,45.93,47.31,28442078
2016-02-16,48.05,48.41,47.57,48.24,20117984
2016-02-17,48.65,48.96,47.99,48.13,18041272
2016-02-18,48.09,48.14,47.48,47.73,17027527
2016-02-19,47.4,48.16,47.34,48.09,18139354
2016-02-22,48.83,49.34,48.83,49.19,17549174
2016-02-23,48.87,48.92,47.98,48.1,14970573
2016-02-24,47.34,47.68,46.56,47.61,18476237
2016-02-25,47.71,48.16,47.71,47.75,16641639
2016-02-26,48.13,48.54,47.83,48.07,20265489
2016-02-29,48.03,48.03,46.91,46.92,23876436
2016-03-01,47.14,48.72,47.14,48.72,24714323
2016-03-02,48.84,49.57,48.61,49.57,18649734
2016-03-03,49.63,49.79,49.07,49.77,14249334
2016-03-04,50.01,50.49,49.68,50.11,18619311
2016-03-07,49.77,50.16,49.44,50.07,14361920
2016-03-08,49.61,49.66,48.92,49.05,17993079
2016-03-09,49.38,49.5,48.51,48.79,17888820
2016-03-10,48.94,49.13,47.96,48.51,18529599
2016-03-11,49.12,50.13,48.88,50.07,18222800
2016-03-14,49.97,50.07,49.44,49.88,12782913
2016-03-15,49.3,49.99,49.2,49.98,12945605
2016-03-16,49.75,50.29,49.28,49.54,16433950
2016-03-17,49.43,49.93,48.84,49.73,15948576
2016-03-18,50.44,50.7,49.93,50.54,35595737
2016-03-21,50.5,50.75,50.17,50.67,13508173
2016-03-22,50.21,50.58,50.0,50.37,13848131
2016-03-23,50.18,50.33,49.7,49.76,13175420
2016-03-24,49.02,49.08,48.52,48.9,20846805
2016-03-28,49.04,49.04,48.55,48.7,18473523
2016-03-29,48.62,48.65,47.84,48.05,24302363
2016-03-30,48.4,49.16,48.15,48.65,16763481
2016-03-31,48.6,48.84,48.27,48.36,16205901
2016-04-01,48.23,48.58,47.78,48.45,14319366
2016-04-04,48.42,48.67,48.2,48.5,12083522
2016-04-05,48.08,48.09,47.46,47.51,18273776
2016-04-06,47.39,48.13,47.22,48.08,17195645
2016-04-07,47.71,47.78,46.62,46.93,17553448
2016-04-08,47.35,47.65,46.97,47.07,12222021
2016-04-11,47.11,47.71,47.0,47.03,15082356
2016-04-12,47.14,47.83,46.95,47.77,18752212
2016-04-13,48.29,49.25,48.27,49.03,26287559
2016-04-14,48.3,49.3,48.17,48.79,30051217
2016-04-15,48.62,48.94,48.06,48.25,24826877
2016-04-18,47.97,48.88,47.91,48.84,17652672
2016-04-19,49.01,49.92,48.98,49.88,18656483
2016-04-20,49.98,50.52,49.76,50.45,22456960
2016-04-21,50.55,50.78,49.93,50.05,20198813
2016-04-22,50.05,50.74,50.05,50.62,16320054
2016-04-25,50.31,50.6,50.12,50.51,11670289
2016-04-26,50.51,50.99,50.45,50.92,13330428
2016-04-27,50.87,51.41,50.72,50.93,15310336
2016-04-28,50.51,50.93,50.2,50.41,15420407
2016-04-29,50.46,50.46,49.68,49.98,17783681
2016-05-02,50.28,50.7,50.15,50.59,14762781
2016-05-03,49.86,50.13,49.54,50.0,16192556
2016-05-04,49.06,49.27,48.68,48.94,22374063
2016-05-05,48.97,49.19,48.77,48.96,15944081
2016-05-06,48.71,49.12,48.65,49.02,14188761
2016-05-09,49.02,49.22,48.81,48.88,13852301
2016-05-10,49.0,49.51,49.0,49.4,14189102
2016-05-11,49.36,49.72,49.08,49.08,17271156
2016-05-12,49.34,49.58,49.04,49.2,13566944
2016-05-13,49.1,49.43,48.21,48.24,24989523
2016-05-16,48.12,48.63,47.94,48.27,19640585
2016-05-17,48.14,48.17,47.55,47.62,21480063
2016-05-18,47.68,48.72,47.62,48.65,29996269
2016-05-19,48.44,48.96,48.16,48.38,13551302
2016-05-20,48.62,49.21,48.56,48.75,13222362
2016-05-23,48.76,48.88,48.35,48.7,10456752
2016-05-24,49.05,49.37,48.69,49.2,16586661
2016-05-25,49.58,50.83,49.51,50.5,22265725
2016-05-26,50.52,50.66,50.4,50.55,14971987
2016-05-27,50.6,50.86,50.49,50.85,13428737
2016-05-31,51.02,51.19,50.49,50.72,19725015
2016-06-01,50.26,51.04,50.17,51.0,16774325
2016-06-02,50.96,51.11,50.71,51.11,14206658
2016-06-03,50.17,50.31,49.61,50.19,25452559
2016-06-06,50.24,50.87,50.19,50.49,14528522
2016-06-07,50.73,50.73,50.27,50.27,15310077
2016-06-08,50.25,50.44,49.74,50.0,18168540
2016-06-09,49.65,49.68,48.85,49.14,19464358
2016-06-10,48.49,48.71,48.17,48.34,16815315
2016-06-13,48.13,48.51,47.96,47.97,16150106
2016-06-14,47.86,48.12,46.51,46.88,25311654
2016-06-15,47.27,47.56,46.74,46.78,20141964
2016-06-16,46.47,46.86,45.96,46.85,15619311
2016-06-17,46.85,47.0,46.52,46.6,25661279
2016-06-20,47.49,47.9,46.92,46.93,19490106
2016-06-21,47.29,47.34,46.77,47.23,11731625
2016-06-22,47.15,47.58,46.93,46.97,17072144
2016-06-23,47.64,47.91,47.39,47.91,16269981
2016-06-24,45.76,46.97,45.28,45.71,46744062
2016-06-27,45.2,45.33,44.5,45.01,35094392
2016-06-28,45.89,46.11,45.34,46.1,27525655
2016-06-29,46.63,46.98,46.14,46.97,20856371
2016-06-30,47.24,47.36,46.53,47.33,22538811
2016-07-01,47.08,47.28,46.86,47.03,19013628
2016-07-05,46.7,46.76,45.81,46.21,22213032
2016-07-06,45.89,46.66,45.7,46.65,19024127
2016-07-07,46.58,47.22,46.44,46.8,17946194
2016-07-08,47.45,47.92,47.45,47.79,19775669
2016-07-11,48.1,48.45,47.94,48.08,16008705
2016-07-12,48.42,48.63,48.22,48.35,15067947
2016-07-13,48.31,48.47,47.98,48.27,14389624
2016-07-14,49.05,49.15,48.67,48.94,17578435
2016-07-15,48.85,48.88,47.41,47.71,35120978
2016-07-18,47.81,48.33,47.78,48.28,24139225
2016-07-19,48.08,48.55,48.04,48.37,15982946
2016-07-20,48.59,48.69,48.4,48.61,16569909
2016-07-21,48.65,48.81,48.29,48.3,15938855
2016-07-22,48.32,48.36,48.1,48.32,13588537
2016-07-25,48.24,48.26,47.85,48.12,12122176
2016-07-26,48.03,48.17,47.8,47.97,16130062
2016-07-27,47.95,48.22,47.78,48.0,17886802
2016-07-28,47.94,48.22,47.68,48.13,12562560
2016-07-29,47.95,48.17,47.95,47.97,13111673
2016-08-01,47.98,48.05,47.63,47.81,16026645
2016-08-02,47.66,47.83,47.39,47.7,17033061
2016-08-03,47.33,47.64,47.33,47.57,14913525
2016-08-04,47.6,48.0,47.57,47.84,14662635
2016-08-05,48.39,48.7,48.13,48.68,19064723
2016-08-08,48.78,49.05,48.74,48.91,14871601
2016-08-09,49.02,49.15,48.81,48.93,10449765
2016-08-10,48.82,48.93,48.08,48.18,16782739
2016-08-11,48.23,48.5,47.92,48.24,14614072
2016-08-12,48.05,48.08,47.83,47.9,13227473
2016-08-15,48.05,48.34,48.03,48.27,11758906
2016-08-16,48.16,48.6,48.06,48.44,13957611
2016-08-17,48.37,48.66,48.31,48.61,13062907
2016-08-18,48.5,48.66,48.33,48.53,12189198
2016-08-19,48.44,48.73,48.2,48.65,12557726
2016-08-22,48.64,48.74,48.5,48.63,9212563
2016-08-23,48.64,48.75,48.39,48.41,15430170
2016-08-24,48.5,48.77,48.35,48.63,16315832
2016-08-25,48.62,48.69,48.3,48.38,13643168
2016-08-26,48.58,48.84,48.28,48.51,15527260
2016-08-29,48.75,49.74,48.69,49.56,21201406
2016-08-30,49.73,50.64,49.68,50.62,25055769
2016-08-31,50.7,50.92,50.24,50.8,24533587
2016-09-01,50.92,51.0,50.11,50.43,17017066
2016-09-02,50.45,50.66,50.18,50.55,12572469
2016-09-06,50.56,50.57,49.63,49.99,21832155
2016-09-07,49.79,50.03,49.65,49.77,12437261
2016-09-08,49.81,49.99,49.56,49.9,14169243
2016-09-09,49.49,49.86,48.72,48.72,32147152
2016-09-12,48.37,48.64,47.98,48.54,35588431
2016-09-13,47.8,47.86,46.52,46.96,59000513
2016-09-14,47.08,47.58,46.5,46.52,44841748
2016-09-15,46.12,46.35,45.19,46.15,61190519
2016-09-16,45.7,45.87,45.25,45.43,51871380
2016-09-19,45.62,46.29,45.48,46.01,33562406
2016-09-20,47.15,47.2,46.12,46.56,51510381
2016-09-21,46.51,46.54,45.33,45.83,64530229
2016-09-22,45.83,46.12,45.37,45.72,36964352
2016-09-23,45.5,45.91,45.43,45.74,28710524
2016-09-26,45.37,45.5,44.65,44.88,30937973
2016-09-27,44.79,45.1,44.66,45.09,24359007
2016-09-28,45.36,45.48,44.96,45.31,28220297
2016-09-29,45.19,45.26,44.21,44.37,45266713
2016-09-30,44.33,44.73,44.1,44.28,54117665
2016-10-03,44.12,44.16,43.56,43.83,38197732
2016-10-04,43.62,44.09,43.55,43.75,44008293
2016-10-05,43.83,45.08,43.83,44.99,40458953
2016-10-06,45.18,45.39,44.83,45.18,29878198
2016-10-07,45.2,45.45,44.93,45.33,24893588
2016-10-10,45.7,45.92,45.44,45.65,21804917
2016-10-11,45.8,45.82,45.15,45.45,25442608
2016-10-12,45.51,45.83,45.32,45.32,21780463
2016-10-13,45.24,45.24,44.28,44.75,44174614
2016-10-14,45.17,45.52,44.32,44.71,45418598
2016-10-17,44.54,44.76,44.32,44.5,18861278
2016-10-18,44.75,45.0,44.41,44.95,23877562
2016-10-19,44.86,45.53,44.86,45.26,26976973
2016-10-20,44.97,45.29,44.66,44.93,27210558
2016-10-21,44.74,45.3,44.66,45.09,21490816
2016-10-24,45.45,45.68,45.29,45.52,19303808
2016-10-25,45.47,45.8,45.41,45.72,20402012
2016-10-26,45.46,46.17,45.44,46.15,25181900
2016-10-27,46.42,46.81,46.26,46.41,25661020
2016-10-28,46.57,46.64,45.88,46.23,20882042
2016-10-31,46.4,46.56,46.0,46.01,20115933
2016-11-01,46.12,46.28,45.6,45.99,20020196
2016-11-02,45.38,45.51,45.07,45.24,19566574
2016-11-03,45.33,45.79,45.25,45.34,14982746
2016-11-04,45.36,45.42,44.49,44.6,27391609
2016-11-07,45.22,45.69,45.21,45.4,25769393
2016-11-08,45.18,45.82,44.87,45.54,19462621
2016-11-09,46.33,48.61,46.0,47.99,67615042
2016-11-10,48.93,51.93,48.79,51.63,100988797
2016-11-11,51.09,51.99,50.73,51.73,46594895
2016-11-14,51.91,54.06,51.91,53.22,59154429
2016-11-15,52.38,52.59,51.54,52.59,39437914
2016-11-16,51.79,52.17,51.36,51.68,26996205
2016-11-17,51.39,52.9,50.96,52.49,29133825
2016-11-18,52.45,52.98,51.99,52.82,29673414
2016-11-21,52.85,52.98,52.02,52.12,23587173
2016-11-22,52.43,52.58,51.81,52.22,22816942
2016-11-23,52.44,52.63,51.95,52.16,20022318
2016-11-25,52.4,52.62,52.04,52.62,9635745
2016-11-28,52.12,52.48,51.39,51.58,26518494
2016-11-29,51.56,52.13,51.56,51.86,16267266
2016-11-30,52.48,53.16,52.3,52.92,26567203
2016-12-01,53.13,54.47,53.06,54.34,35623052
2016-12-02,54.24,54.27,53.31,53.58,21894686
2016-12-05,53.9,54.53,53.87,54.35,24793902
2016-12-06,54.45,55.57,54.22,55.55,30706669
2016-12-07,55.55,57.29,55.23,57.28,46616968
2016-12-08,57.29,58.02,56.71,57.29,39828604
2016-12-09,56.91,57.24,56.49,57.14,20331186
2016-12-12,56.5,57.1,55.55,55.78,27886167
2016-12-13,55.85,56.21,55.29,55.84,24355561
2016-12-14,54.74,55.62,54.03,54.7,54590640
2016-12-15,55.17,56.25,54.9,55.19,31345878
2016-12-16,55.49,55.65,54.92,55.34,33171784
2016-12-19,55.18,55.47,54.65,55.22,16801429
2016-12-20,55.47,56.32,55.15,56.1,19245332
2016-12-21,56.09,56.09,55.64,55.71,14058380
2016-12-22,55.76,56.03,55.5,55.75,14515521
2016-12-23,55.78,55.98,55.62,55.96,8312986
2016-12-27,55.9,56.1,55.84,55.95,8893940
2016-12-28,55.98,56.08,55.27,55.32,10609110
2016-12-29,55.19,55.46,54.48,54.84,15933472
2016-12-30,54.89,55.36,54.79,55.11,15095516
2017-01-03,55.67,56.35,55.46,56.0,22063790
2017-01-04,56.16,56.31,55.61,56.05,15036148
2017-01-05,55.49,55.82,54.48,55.18,18831628
2017-01-06,55.26,55.57,54.7,55.04,18715908
2017-01-09,54.68,54.81,54.18,54.24,21794061
2017-01-10,54.35,55.18,54.26,54.62,17978219
2017-01-11,54.6,54.8,53.72,54.8,21100589
2017-01-12,54.65,54.78,53.9,54.5,20566603
2017-01-13,55.11,56.2,54.65,55.31,37231593
2017-01-17,54.8,54.96,53.58,53.78,26974416
2017-01-18,53.78,54.29,53.34,54.27,21186749
2017-01-19,54.24,54.76,53.86,54.58,20906892
2017-01-20,54.75,55.11,54.62,55.07,24160823
2017-01-23,54.71,55.0,54.15,54.25,17227385
2017-01-24,54.36,55.07,54.13,54.7,18523327
2017-01-25,55.38,56.83,55.28,56.62,32252075
2017-01-26,56.61,57.33,56.59,57.18,23769752
2017-01-27,57.03,57.11,56.41,56.59,17186210
2017-01-30,56.12,56.32,55.75,56.08,15961389
2017-01-31,55.98,56.38,55.8,56.33,22409081
2017-02-01,56.54,57.07,55.77,55.91,21157698
2017-02-02,55.56,55.96,55.4,55.75,13044449
2017-02-03,56.88,57.28,56.43,57.27,19879774
2017-02-06,57.08,57.41,56.49,56.55,13940158
2017-02-07,56.86,57.19,56.27,56.34,14937421
2017-02-08,56.21,56.21,55.16,55.63,18592180
2017-02-09,55.98,56.77,55.67,56.73,15907818
2017-02-10,57.02,57.04,56.66,56.86,12268103
2017-02-13,57.07,57.51,56.89,57.08,15325274
2017-02-14,57.13,58.0,56.99,57.98,16382857
2017-02-15,58.1,59.0,57.89,58.55,25350371
2017-02-16,58.36,58.36,57.51,58.12,14694501
2017-02-17,57.58,58.1,57.45,58.09,15783230
2017-02-21,58.25,58.63,57.9,58.25,16916750
2017-02-22,58.0,58.59,58.0,58.36,12344234
2017-02-23,58.43,58.59,58.06,58.49,13841369
2017-02-24,57.7,57.91,57.32,57.81,16379051
2017-02-27,57.81,58.25,57.71,58.06,10101035
2017-02-28,57.99,58.32,57.73,57.88,15558884
2017-03-01,59.11,59.99,59.09,59.73,25912728
2017-03-02,59.78,59.79,58.56,58.71,17578616
2017-03-03,58.85,59.24,58.67,58.89,14753743
2017-03-06,58.54,58.88,58.18,58.61,13225468
2017-03-07,58.43,58.52,58.02,58.3,13099877
2017-03-08,58.95,59.13,58.16,58.21,14711295
2017-03-09,58.46,58.87,58.2,58.7,15721476
2017-03-10,58.98,59.18,58.52,58.85,15120176
2017-03-13,58.83,59.03,58.52,58.7,14063472
2017-03-14,58.49,58.81,58.24,58.76,10885031
2017-03-15,58.9,59.31,58.36,58.71,17777338
2017-03-16,58.86,59.41,58.76,59.32,18468200
2017-03-17,59.37,59.41,58.52,58.67,20985674
2017-03-20,58.47,58.47,57.62,57.63,17663194
2017-03-21,57.93,57.96,55.63,55.85,31766385
2017-03-22,55.53,55.57,54.85,55.33,27740860
2017-03-23,55.23,55.99,54.98,55.25,18999983
2017-03-24,55.5,56.05,55.22,55.83,21127464
2017-03-27,54.63,55.58,54.24,55.39,16854761
2017-03-28,55.35,56.25,55.24,55.96,14878890
2017-03-29,55.94,56.09,55.55,55.67,10329113
2017-03-30,55.68,56.43,55.61,56.24,12106538
2017-03-31,56.02,56.18,55.62,55.66,11864615
2017-04-03,55.7,55.82,54.79,55.49,14550739
2017-04-04,55.3,55.33,54.98,55.2,11937360
2017-04-05,55.79,56.2,54.93,54.98,17411708
2017-04-06,54.95,55.65,54.7,55.37,10387536
2017-04-07,54.94,55.31,54.61,54.84,15848831
2017-04-10,54.99,55.25,54.32,54.54,14607683
2017-04-11,54.23,54.26,53.26,54.16,28086812
2017-04-12,53.95,54.02,53.05,53.12,25601266
2017-04-13,51.8,52.75,51.35,51.35,47981952
2017-04-17,51.64,52.76,51.26,52.72,31959061
2017-04-18,52.36,52.66,52.09,52.45,22257525
2017-04-19,52.88,53.14,52.05,52.15,17414622
2017-04-20,52.72,53.59,52.43,53.5,31552904
2017-04-21,53.39,53.84,52.95,53.0,26177343
2017-04-24,54.15,54.34,53.59,53.65,23856688
2017-04-25,54.33,55.09,54.29,54.56,27061299
2017-04-26,54.6,55.07,54.36,54.54,15915542
2017-04-27,54.54,54.65,53.91,54.44,13978030
2017-04-28,54.33,54.58,53.73,53.84,16501919
2017-05-01,54.1,54.75,53.97,54.46,13915807
2017-05-02,54.46,54.61,54.06,54.54,15634864
2017-05-03,54.01,54.89,53.95,54.85,15737118
2017-05-04,55.27,55.6,54.87,55.18,17054067
2017-05-05,55.25,55.38,54.88,55.11,13078783
2017-05-08,55.12,55.29,54.75,55.04,14242805
2017-05-09,55.14,55.37,54.45,54.68,14402868
2017-05-10,54.43,54.91,54.36,54.72,15897244
2017-05-11,54.28,54.42,53.06,53.74,32200089
2017-05-12,53.3,53.32,52.54,53.02,29642325
2017-05-15,53.06,53.42,53.02,53.32,15245047
2017-05-16,53.4,53.44,52.95,53.26,12650066
2017-05-17,52.04,52.65,51.65,52.24,33173088
2017-05-18,52.31,52.96,51.95,52.38,19790140
2017-05-19,52.57,53.34,52.39,53.06,16894978
2017-05-22,53.27,53.32,52.5,53.01,13946952
2017-05-23,53.01,53.56,52.85,53.39,11751719
2017-05-24,53.49,53.61,52.8,53.09,11363414
2017-05-25,53.25,53.25,52.57,52.78,16643765
2017-05-26,52.63,52.81,52.37,52.41,14247740
